procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 8913604   1600 247688348    0    0 10587 222470 36184   38  8  3 89  0  0  0
 3  0      0 8899476   1600 247672004    0    0 65640    20 11068 15935  0  0 100  0  0  0
 0  0      0 8951284   1600 247639524    0    0 49152   132 14099 21560  0  0 99  0  0  0
 0  0      0 8907492   1600 247689036    0    0 49168  6900 12986 20217  0  0 99  0  0  0
 1  0      0 8932440   1600 247660864    0    0 49152  3388 12013 19143  0  0 100  0  0  0
 0  0      0 8950020   1600 247655324    0    0 65536     0 11063 16487  0  0 100  0  0  0
 0  0      0 9014600   1600 247635656    0    0 65536   380 12476 19986  0  1 99  0  0  0
 2  0      0 8838248   1600 247754504    0    0 58716 67004 18696 37182  0  0 99  0  0  0
 0  0      0 8866324   1600 247713424    0    0 39808     0 8672 13062  0  0 100  0  0  0
 1  0      0 8784832   1600 247779060    0    0 65536     0 11644 18396  0  0 100  0  0  0
 2  0      0 8912260   1600 247655028    0    0 49152     0 10106 13728  0  0 100  0  0  0
 0  0      0 8833652   1600 247720696    0    0 65536     0 10389 14757  0  0 100  0  0  0
 0  0      0 8851812   1600 247722620    0    0 65536     4 10407 16379  0  0 100  0  0  0
 1  0      0 8861052   1600 247689904    0    0 49152     0 9425 14058  0  0 100  0  0  0
 0  0      0 8864628   1600 247684552    0    0 65536     0 10077 13733  0  0 100  0  0  0
 1  0      0 8882040   1600 247658760    0    0 49152     0 9845 14600  0  0 100  0  0  0
33  0      0 8839348   1600 247708032    0    0 49152   256 11407 18801  0  0 100  0  0  0
 1  0      0 8862864   1600 247677664    0    0 49344    40 12580 19265  0  0 99  0  0  0
 1  0      0 8874884   1600 247725048    0    0 49152 12752 13263 24017  0  0 99  0  0  0
 0  0      0 8913868   1600 247692776    0    0 49152     0 12909 18468  0  0 100  0  0  0
 2  0      0 8978196   1600 247604876    0    0 65620   264 13273 19979  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 8886492   1600 247670116    0    0 65536     0 10012 13703  0  0 100  0  0  0
