procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 159544092   1600 97140212    0    0 10124 213916 35460   37  8  3 89  0  0  0
 0  0      0 159541272   1600 97140236    0    0     0     0 9494 15230  0  0 100  0  0  0
 0  0      0 159541612   1600 97140236    0    0     0    12 8754 12271  0  0 100  0  0  0
 0  1      0 158052228   1600 97447748    0    0     0 558664 38796 375599  4  3 93  0  0  0
57  0      0 157049912   1600 97917536    0    0     0 1032200 55331 638412  6  5 89  1  0  0
 0  1      0 156246372   1600 98316820    0    0     0 1024896 66271 655486  6  3 90  1  0  0
 3  0      0 155424972   1600 98665000    0    0     0 1023104 96086 718406  8  4 87  1  0  0
84  1      0 154649752   1600 98932752    0    0     0 921172 109297 679633  9  5 86  1  0  0
 0  1      0 153926508   1600 99148180    0    0     0 914080 116294 700396 11  5 83  1  0  0
 0  1      0 153250420   1600 99273076    0    0     0 872672 119614 722167 13  6 80  0  0  0
 1  1      0 152606908   1600 99492660    0    0     0 931969 122122 690564 12  6 82  1  0  0
 0  1      0 151825280   1600 100046828    0    0     0 980842 85568 459407  8  4 88  1  0  0
133  1      0 151098680   1600 100573564    0    0     0 992817 89605 487460  7  3 89  1  0  0
 2  1      0 150348204   1600 101103840    0    0     0 1012983 93418 506953 10  5 85  1  0  0
 1  2      0 149663884   1600 101648060    0    0     0 1115928 81011 353573  6  3 90  1  0  0
 1  2      0 149052668   1600 102158788    0    0     0 1146088 71648 265484  4  2 94  1  0  0
 0  2      0 148476128   1600 102639648    0    0     0 1202656 80125 266189  5  2 91  1  0  0
 1  0      0 147901476   1600 103135548    0    0     0 1184944 84270 287356  2  1 95  1  0  0
 1  1      0 147342368   1600 103614648    0    0     0 1148878 79299 284780  5  2 92  1  0  0
 0  1      0 146742944   1600 104109848    0    0     0 1178411 81659 294838  4  2 93  1  0  0
 0  1      0 146091560   1600 104604372    0    0     0 1140774 78459 299634  6  2 91  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  1      0 145473420   1600 105098704    0    0     0 1159832 85640 322351  5  2 93  1  0  0
 0  1      0 144946032   1600 105543404    0    0     0 1067633 73289 286130  5  2 92  1  0  0
103  0      0 144419492   1600 105987844    0    0     0 1029915 75734 303965  5  2 93  1  0  0
 0  2      0 143881016   1600 106439936    0    0     0 1061933 77789 316552  6  3 91  1  0  0
 0  1      0 143278448   1600 106936052    0    0     0 1162093 84937 346548  5  2 92  1  0  0
 0  1      0 142690196   1600 107412680    0    0     0 1166993 86940 368132  6  2 90  1  0  0
 0  1      0 142082572   1600 107905364    0    0     0 1171647 87701 390477  6  3 91  1  0  0
 0  2      0 141453196   1600 108423124    0    0     0 1162388 88840 406081  5  2 92  1  0  0
 1  2      0 140844668   1600 108914940    0    0     0 1152942 91627 423623  9  4 87  1  0  0
 1  1      0 140304644   1600 109390716    0    0     0 1143338 91622 412699  8  4 87  1  0  0
 3  1      0 139712140   1600 109882688    0    0     0 1136799 92748 449828  8  3 88  1  0  0
 0  1      0 139128072   1600 110358140    0    0     0 1128720 94175 466506 11  5 84  1  0  0
 0  1      0 138535344   1600 110850020    0    0     0 1147637 97609 499562  8  4 87  1  0  0
 0  1      0 137957756   1600 111336808    0    0     0 1085315 94961 503311  9  4 86  1  0  0
 1  0      0 137386864   1600 111796148    0    0     0 1086052 100183 516888  8  3 88  1  0  0
 1  1      0 136790464   1600 112271384    0    0     0 1129829 101827 571077 12  5 82  1  0  0
 2  0      0 136171680   1600 112763056    0    0     0 1111494 106001 621386 13  5 81  1  0  0
 1  1      0 135589596   1600 113254644    0    0     0 1162370 112644 661215 14  6 80  1  0  0
 0  1      0 134961460   1600 113762600    0    0     0 1199571 116398 744866 15  6 78  1  0  0
141  0      0 134343704   1600 114277752    0    0     0 1155966 124489 830213 14  6 79  1  0  0
164  1      0 133717912   1600 114796044    0    0     0 1184993 132367 908633 19  9 72  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  1      0 133078204   1600 115316836    0    0     0 1173100 138327 993469 21  9 70  1  0  0
 1  1      0 132433596   1600 115843572    0    0     0 1185817 144811 1163288 24  9 66  0  0  0
172  1      0 131765100   1600 116372972    0    0     0 1184771 154126 1327971 30 12 58  0  0  0
171  2      0 131148680   1600 116868964    0    0     0 1112578 162794 1559804 34 14 52  0  0  0
 0  1      0 130571848   1600 117349768    0    0     0 1088750 176505 1919120 42 15 42  0  0  0
181  1      0 130040668   1600 117844984    0    0     0 1092077 182192 2451898 54 19 27  0  0  0
229  0      0 129495012   1600 118309480    0    0     0 1052530 165436 3130529 68 22 10  0  0  0
223  1      0 129133964   1600 118657304    0    0     8 1068532 162704 3191008 67 20 13  0  0  0
152  0      0 128839184   1600 118955408    0    0     0 975458 148605 3217566 63 20 16  0  0  0
225  1      0 128488720   1600 119320084    0    0     0 1054724 128356 3218242 63 20 17  0  0  0
217  1      0 128232116   1600 119554100    0    0     0 1130953 128362 3225290 63 19 17  0  0  0
188  0      0 128031492   1600 119785088    0    0     0 1152038 129771 3203840 63 20 17  0  0  0
 3  1      0 132457536   1600 115361268    0    0     0 1017959 120306 2665073 52 16 32  0  0  0
 0  2      0 132042448   1600 115804008    0    0     0 1129906 68080 277018  4  2 93  1  0  0
 1  0      0 131612412   1600 116246376    0    0     0 1113406 66956 285083  6  2 91  1  0  0
 1  1      0 131176472   1600 116688748    0    0     0 1085997 67333 292015  4  2 93  1  0  0
 1  1      0 130743504   1600 117147588    0    0     0 1127532 70500 318444  4  2 93  1  0  0
 1  1      0 130293612   1600 117606260    0    0     0 1116672 71445 319939  5  2 93  1  0  0
 1  0      0 129856552   1600 118048660    0    0     0 1089661 68864 311858  6  2 91  1  0  0
 0  1      0 129419276   1600 118491028    0    0     0 1100436 69824 324683  6  2 91  1  0  0
128  0      0 128988996   1600 118948820    0    0     0 1106370 73377 345661  5  2 91  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  2      0 128570596   1600 119375856    0    0     0 1093793 71465 329449  5  2 92  1  0  0
 0  1      0 128122560   1600 119818272    0    0     0 1073872 73746 349306  4  2 94  1  0  0
 2  0      0 127711516   1600 120227904    0    0     0 1057688 72500 333494  5  3 91  1  0  0
 0  1      0 127333932   1600 120637556    0    0     0 1034959 71375 352971  5  2 91  1  0  0
 2  0      0 126910460   1600 121063628    0    0     0 1030924 73353 370051  6  3 91  1  0  0
 1  1      0 126483196   1600 121489708    0    0     0 1038075 76346 378440  5  2 91  1  0  0
 0  1      0 126059652   1600 121899340    0    0     0 990332 74622 377251  6  2 91  1  0  0
140  1      0 125653436   1600 122292928    0    0     0 992659 73994 380910  7  3 90  1  0  0
 2  0      0 125238464   1600 122707928    0    0     0 1022614 74140 385107  6  2 91  1  0  0
 0  1      0 124802436   1600 123132608    0    0     0 1059602 73585 385811  7  3 89  1  0  0
 0  1      0 124338456   1600 123612312    0    0     0 1180573 82464 438312  9  4 87  1  0  0
 0  1      0 123851836   1600 124073144    0    0     0 1111840 82778 437914  9  4 86  1  0  0
 0  1      0 123429972   1600 124529148    0    0     0 1082526 80081 431460  9  4 87  1  0  0
 0  1      0 122981388   1600 124988048    0    0     0 1121491 83812 449590  6  3 90  1  0  0
 0  0      0 122492812   1600 125446860    0    0     0 1147515 83199 462516  8  3 88  1  0  0
 2  1      0 122014032   1600 125967124    0    0     0 1179710 89246 508200 10  5 85  1  0  0
 1  0      0 121486824   1600 126453372    0    0     0 1169767 89682 533180 10  4 85  1  0  0
137  0      0 121048528   1600 126895872    0    0     0 1119884 89600 522270 11  4 84  1  0  0
