timestamp lsn_bytes lsn_delta_kb rate_kb_s
17:00:53 13975420928 13647872 4549290
17:00:56 15988686848 1966080 655360
17:00:58 18958254080 2899968 1449984
17:01:02 21206401024 2195456 548864
17:01:05 22884122624 1638400 546133
17:01:08 24618401792 1693632 564544
17:01:11 26253139968 1596424 798212
17:01:13 27749515264 1461304 487101
17:01:16 29209133056 1425408 475136
17:01:19 30588559360 1347096 449032
17:01:22 32118063104 1493656 497885
17:01:25 33587986432 1435472 478490
17:01:28 35165028352 1540080 513360
17:01:30 36661780480 1461672 730836
17:01:33 38050725888 1356392 452130
17:01:36 39457382400 1373688 457896
17:01:38 40382758912 903688 451844
17:01:41 41052921856 654456 218152
17:01:43 42245029888 1164168 582084
17:01:46 43553652736 1277952 425984
17:01:49 44828721152 1245184 415061
17:01:52 46343929856 1479696 493232
17:01:55 47613730816 1240040 413346
17:01:57 48972693504 1327112 663556
17:02:00 50303082496 1299208 433069
17:02:03 51908706304 1567992 522664
17:02:06 53296431104 1355200 451733
17:02:09 54727278592 1397312 465770
17:02:11 56158830592 1398000 699000
17:02:14 57740632064 1544728 514909
17:02:17 58821967872 1055992 351997
17:02:20 59551440896 712376 237458
17:02:23 60292951568 724131 241377
17:02:27 61488496640 1167524 291881
17:02:29 62847451136 1327104 663552
17:02:32 64323846144 1441792 480597
17:02:35 65598906368 1245176 415058
17:02:38 67085271040 1451528 483842
17:02:41 68434264064 1317376 439125
17:02:43 69759664128 1294336 647168
17:02:46 71167950848 1375280 458426
17:02:49 72631476224 1429224 476408
17:02:52 74161315840 1493984 497994
17:02:55 75665244160 1468680 489560
17:02:58 76856426496 1163264 387754
17:03:01 77723546304 846796 282265
17:03:03 78450262016 709683 354841
17:03:06 79440117760 966656 322218
17:03:09 80295755776 835584 278528
17:03:12 81614184448 1287528 429176
17:03:15 82946555904 1301144 433714
17:03:18 84305502208 1327096 442365
17:03:20 85563801600 1228808 614404
17:03:23 86884556800 1289800 429933
17:03:26 88315265024 1397176 465725
17:03:29 89690996736 1343488 447829
17:03:32 91251277824 1523712 507904
17:03:35 92694118400 1409024 469674
17:03:37 94204067840 1474560 737280
17:03:40 95632441344 1394896 464965
17:03:43 97057529856 1391688 463896
17:03:46 98175426560 1091696 363898
17:03:49 99086237696 889464 296488
17:03:52 99976085504 868992 289664
17:03:54 100729338568 735598 367799
17:03:57 101770592256 1016849 338949
17:04:00 103062437888 1261568 420522
17:04:03 104516321280 1419808 473269
17:04:06 105971802112 1421368 473789
17:04:09 107458060288 1451424 483808
17:04:12 108867346432 1376256 458752
17:04:14 110192754688 1294344 647172
