procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 219244764   1600 37937096    0    0  6870 72911 9883    6  2  0 98  0  0  0
 0  0      0 219253396   1600 37937108    0    0     0     0 3278 3489  0  0 100  0  0  0
 4  1      0 216905100   1600 38619856    0    0     0 425568 32405 281558  4  3 93  0  0  0
 5  1      0 214522392   1600 40167860    0    0     0 1100240 63219 667496  9  4 86  1  0  0
 4  1      0 212485492   1600 41557660    0    0     0 1089518 70312 694163 11  5 83  1  0  0
65  0      0 210428028   1600 42841384    0    0     0 1073328 92974 737211 11  4 85  1  0  0
 2  0      0 208768784   1600 43938528    0    0     0 1064984 126834 797121 14  6 80  0  0  0
 1  1      0 206945832   1600 45119512    0    0     0 1099728 147939 862466 15  6 78  1  0  0
 1  1      0 205142172   1600 46211248    0    0     0 1075712 151167 913649 20  8 71  0  0  0
 3  1      0 203893404   1600 47032732    0    0     0 1100399 129525 759822 19  8 73  1  0  0
141  1      0 203172636   1600 47476204    0    0     0 1082066 98939 531448  9  3 87  1  0  0
 3  1      0 202189220   1600 47962132    0    0     0 1104565 100933 549044 13  5 82  1  0  0
 8  1      0 201448104   1600 48397096    0    0     0 1327460 86747 305715  7  2 90  1  0  0
11  0      0 200857992   1600 48849568    0    0     0 1438641 92925 322952  9  3 87  1  0  0
92  0      0 200203348   1600 49321232    0    0     0 1400842 85709 347276  8  3 88  1  0  0
13  0      0 199421356   1600 49779984    0    0     0 1358936 83561 351260  9  4 86  1  0  0
 2  1      0 198964800   1600 50209748    0    0     0 1368377 88008 359620  8  3 88  1  0  0
 5  2      0 198592440   1600 50655712    0    0     0 1416054 92275 388888  8  3 88  1  0  0
 3  0      0 198266156   1600 50969960    0    0     0 1226777 82632 356545  9  3 87  1  0  0
 1  2      0 197912148   1600 51299768    0    0     0 1194696 80243 348706  9  4 87  1  0  0
 1  2      0 197572324   1600 51662008    0    0     0 1189349 86593 372975 11  4 84  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 8  1      0 197234408   1600 52024100    0    0     0 1200255 87917 386597 10  4 85  1  0  0
 8  2      0 196754316   1600 52403332    0    0     0 1193861 84962 392230  9  3 87  1  0  0
12  1      0 196175724   1600 52765444    0    0     0 1187287 87813 410422  7  3 89  1  0  0
 8  1      0 195419940   1600 53143040    0    0     0 1187900 89183 432302  8  3 88  1  0  0
 8  1      0 194747872   1600 53520624    0    0     0 1195777 90748 443136 11  4 85  1  0  0
132  0      0 194421500   1600 53908900    0    0     0 1176619 93955 468297 11  4 84  1  0  0
 7  0      0 193957036   1600 54294952    0    0     0 1210400 93000 510692 13  5 81  1  0  0
 1  1      0 193992772   1600 54540832    0    0     0 1181016 87482 500049 11  4 84  1  0  0
155  1      0 193692220   1600 54917704    0    0     0 1199062 93790 544303 11  4 84  1  0  0
 2  1      0 193193324   1600 55281260    0    0     0 1180395 92866 580746 11  4 84  1  0  0
116  0      0 192655696   1600 55692604    0    0     0 1187950 97021 612102 14  6 79  1  0  0
 1  1      0 192316324   1600 56035244    0    0     0 1199209 102312 645297 14  5 79  1  0  0
 1  1      0 191859808   1600 56412180    0    0     0 1186993 106959 691766 16  6 77  1  0  0
 1  1      0 191326912   1600 56797956    0    0     0 1192987 106492 746086 18  6 75  1  0  0
 1  0      0 190655124   1600 57191540    0    0     0 1185293 112501 823884 19  7 73  1  0  0
195  1      0 189954624   1600 57598244    0    0     0 1202401 119620 887479 21  8 71  1  0  0
 9  1      0 189432280   1600 57975300    0    0     0 1188001 120463 961073 25  9 65  1  0  0
197  0      0 188920348   1600 58369480    0    0     0 1181694 130653 1099681 26  9 65  1  0  0
 8  1      0 188463916   1600 58752552    0    0     0 1193761 139729 1234842 30 11 58  0  0  0
232  2      0 188017028   1600 59151600    0    0     0 1179659 150062 1477511 36 13 50  0  0  0
191  0      0 187493108   1600 59533504    0    0     0 1162116 158411 1796265 43 15 41  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
207  1      0 187079220   1600 59930832    0    0     0 1165650 166325 2349435 54 17 28  0  0  0
211  1      0 186712884   1600 60298416    0    0     0 1153628 146327 3039567 65 20 15  0  0  0
180  0      0 186418284   1600 60563232    0    0     0 1175036 143332 3135558 66 19 15  0  0  0
199  0      0 185594112   1600 60949452    0    0     0 1193778 132121 3129355 65 19 16  0  0  0
213  0      0 185457452   1600 61086492    0    0     0 1311017 121151 3092604 65 19 16  0  0  0
182  2      0 185600152   1600 61219552    0    0     0 1203017 124307 3164364 65 19 16  0  0  0
13  1      0 185557244   1600 61383456    0    0     0 1075752 113884 2802661 58 16 26  0  0  0
 8  1      0 185090348   1600 61743756    0    0     0 1260165 70648 336260  7  2 90  1  0  0
 1  2      0 184739744   1600 62104340    0    0     0 1234125 70784 344932 10  3 87  1  0  0
 3  1      0 184799944   1600 62366600    0    0     0 1187007 70074 342499  9  3 87  1  0  0
123  1      0 184682792   1600 62645212    0    0     0 1190274 71313 362453  7  2 90  1  0  0
 8  1      0 184189004   1600 62989400    0    0     0 1188475 72163 363069  8  2 89  1  0  0
 8  1      0 183768236   1600 63333424    0    0     0 1191393 70581 369102  9  3 88  1  0  0
 8  1      0 183081596   1600 63661324    0    0     0 1192978 68839 373351  8  3 89  1  0  0
10  0      0 182781860   1600 63989072    0    0     0 1193857 71139 381382 11  4 84  1  0  0
 6  1      0 182381068   1600 64300520    0    0     0 1189762 72560 387752 10  3 86  1  0  0
 1  2      0 182479836   1600 64530232    0    0     0 1192935 75829 422736 11  4 85  1  0  0
121  1      0 182328516   1600 64874540    0    0     0 1188180 78905 444312 11  3 86  1  0  0
 8  1      0 181970444   1600 65218888    0    0     0 1194040 76097 437612 11  4 85  1  0  0
 8  1      0 181460716   1600 65563368    0    0     0 1189816 77764 454666 11  4 85  1  0  0
143  0      0 180766400   1600 65891580    0    0     0 1191364 75596 447328 11  4 84  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  1      0 180389560   1600 66219572    0    0     0 1191408 83192 505646 11  4 85  1  0  0
 1  1      0 180492932   1600 66482032    0    0     0 1192347 83537 554409 11  4 85  1  0  0
 7  0      0 180224796   1600 66826388    0    0     0 1186057 84648 565459 13  4 82  1  0  0
 1  1      0 179793856   1600 67170772    0    0     0 1192965 87133 562389 15  6 79  1  0  0
 1  1      0 179431520   1600 67515144    0    0     0 1191108 91126 612339 12  4 84  1  0  0
 8  2      0 179037280   1600 67875884    0    0     0 1198727 95145 648593 16  5 78  1  0  0
 9  1      0 178713832   1600 68220172    0    0     0 1183284 93064 677574 16  6 78  1  0  0
12  2      0 178230776   1600 68597204    0    0     0 1195915 98750 738135 15  5 79  1  0  0
172  2      0 178094028   1600 68957972    0    0     0 1198201 107039 768426 19  7 74  1  0  0
10  2      0 177826676   1600 69335000    0    0     0 1182137 111392 884332 20  7 72  1  0  0
 9  1      0 177366820   1600 69712096    0    0     0 1185629 122770 966376 24  9 67  0  0  0
183  1      0 176951332   1600 70089352    0    0     0 1202798 121455 1057747 26  9 65  0  0  0
 8  1      0 176676744   1600 70466572    0    0     0 1192367 134205 1219203 29  9 62  0  0  0
176  1      0 176376108   1600 70844052    0    0     0 1189546 149926 1393929 32 11 57  0  0  0
 3  0      0 176084480   1600 71222036    0    0     0 1183024 155857 1611034 38 14 48  0  0  0
 1  1      0 175569648   1600 71615968    0    0     0 1198322 167805 2008348 51 16 33  0  0  0
75  1      0 174988608   1600 72026464    0    0     0 1182577 155587 2517052 56 17 27  0  0  0
212  1      0 174314848   1600 72502808    0    0     0 1193748 147432 3211069 70 19 11  0  0  0
212  0      0 174348560   1600 72783112    0    0     0 1188943 154880 3161444 71 20  9  0  0  0
213  2      0 174291512   1600 73014000    0    0     0 1199750 137354 3224948 68 18 14  0  0  0
147  0      0 174118900   1600 73212056    0    0     0 1181060 131291 3152879 68 18 15  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
148  0      0 173508404   1600 73492508    0    0     0 1195419 133562 3141038 65 18 17  0  0  0
140  1      0 173344636   1600 73641360    0    0     0 1196397 131538 3178687 66 18 16  0  0  0
226  0      0 173498152   1600 73790604    0    0     0 1182578 135603 3179628 65 18 16  0  0  0
184  1      0 173480596   1600 73923212    0    0     0 1196576 133554 3170139 66 18 16  0  0  0
193  0      0 173369856   1600 74055908    0    0     0 1192975 128822 3116980 66 18 16  0  0  0
214  0      0 172726840   1600 74319912    0    0     0 1191372 132521 3171367 67 18 15  0  0  0
182  1      0 172673128   1600 74452860    0    0     0 1190339 136148 3146771 67 18 15  0  0  0
217  0      0 172724836   1600 74608528    0    0     0 1174366 138419 3177241 65 18 16  0  0  0
10  0      0 172525804   1600 74856372    0    0     0 1074986 140567 2451403 51 14 34  0  0  0
 8  1      0 171623744   1600 75233916    0    0     0 1291159 74701 341652  9  3 88  1  0  0
10  0      0 170944036   1600 75595808    0    0     0 1226350 72811 337293  7  2 91  1  0  0
 7  1      0 170526204   1600 75941576    0    0     0 1194963 72782 331014  8  2 89  1  0  0
 2  1      0 170718824   1600 76121940    0    0     0 1194353 59612 331786  9  3 88  1  0  0
 2  0      0 170347220   1600 76454588    0    0     0 1192537 60795 340897  8  3 88  1  0  0
 8  1      0 169993220   1600 76815104    0    0     0 1193128 66995 373313  8  3 89  1  0  0
 8  2      0 169749156   1600 77159204    0    0     0 1189438 61256 344499 10  3 86  1  0  0
 8  1      0 169122444   1600 77479000    0    0     0 1187657 64476 367442 11  3 85  1  0  0
 9  1      0 168948004   1600 77823104    0    0     0 1190167 66112 397647 10  3 86  1  0  0
 9  2      0 168483212   1600 78167276    0    0     0 1193751 67664 420334 13  4 82  1  0  0
 8  1      0 167959904   1600 78527748    0    0     0 1193845 71039 430723 11  4 84  1  0  0
 1  1      0 167707700   1600 78871892    0    0     0 1188503 73322 475296 10  3 87  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  1      0 167734952   1600 79117696    0    0     0 1188944 74221 461596 10  3 86  1  0  0
 7  1      0 167395932   1600 79461816    0    0     0 1187893 75702 514919 11  4 85  1  0  0
 2  1      0 167056056   1600 79805952    0    0     0 1193010 76675 523681 12  4 84  1  0  0
 8  1      0 166729932   1600 80166468    0    0     0 1192564 77813 542073 12  4 83  1  0  0
 8  1      0 166237108   1600 80494256    0    0     0 1190311 76952 525581 13  4 82  1  0  0
 1  1      0 166218988   1600 80887532    0    0     0 1200267 80590 575063 13  4 83  1  0  0
 8  1      0 165569844   1600 81346360    0    0     0 1188635 81225 622481 11  4 85  1  0  0
 0  1      0 165276556   1600 81707000    0    0     0 1184341 91752 657448 15  5 80  1  0  0
 1  1      0 165341252   1600 81969152    0    0     0 1193062 91893 720664 17  5 78  1  0  0
 1  1      0 164882732   1600 82313292    0    0     0 1189633 97400 748714 18  6 75  1  0  0
155  0      0 164454656   1600 82657448    0    0     0 1188464 99672 817631 16  5 78  1  0  0
168  2      0 164082264   1600 83034400    0    0     0 1209612 105138 880153 19  6 75  1  0  0
180  0      0 163610092   1600 83378524    0    0     0 1173581 108744 974557 22  7 70  1  0  0
 9  0      0 163190636   1600 83755456    0    0     0 1190698 123304 1083331 25  8 66  0  0  0
10  0      0 162866180   1600 84132356    0    0     0 1190334 131588 1267872 28  9 63  0  0  0
 8  1      0 162479260   1600 84509248    0    0     0 1192543 143148 1411956 34 11 55  0  0  0
 1  1      0 162166812   1600 84886200    0    0     0 1195534 152006 1694520 38 11 50  0  0  0
199  0      0 161750716   1600 85295812    0    0     0 1185802 168280 2216045 52 15 32  0  0  0
209  0      0 161383880   1600 85692132    0    0     0 1193754 150937 2958674 65 17 17  0  0  0
226  0      0 160592984   1600 86149324    0    0     0 1194588 127523 3276713 67 17 16  0  0  0
263  1      0 160483784   1600 86397940    0    0     0 1195923 120988 3276750 66 17 17  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
202  0      0 160462704   1600 86578356    0    0     0 1184829 122548 3219585 66 17 17  0  0  0
181  1      0 160459316   1600 86744524    0    0     0 1190860 124841 3199144 67 16 16  0  0  0
251  1      0 160277956   1600 86893784    0    0     0 1192360 126452 3221681 68 17 15  0  0  0
213  0      0 160086804   1600 87025780    0    0     0 1182390 127116 3220836 68 17 15  0  0  0
222  0      0 160085280   1600 87159568    0    0     0 1197712 127697 3187762 68 17 15  0  0  0
221  0      0 160097972   1600 87291968    0    0     0 1197438 129086 3186103 68 17 14  0  0  0
221  0      0 159497128   1600 87546380    0    0     0 1190770 133670 3212500 68 18 15  0  0  0
238  0      0 159292000   1600 87689588    0    0     0 1185680 145897 3208143 68 18 14  0  0  0
195  0      0 159210760   1600 87823396    0    0     0 1174203 150544 3180761 67 17 16  0  0  0
259  1      0 159270924   1600 87973584    0    0     0 1215971 152145 3233584 67 17 16  0  0  0
272  0      0 159296944   1600 88123744    0    0     0 1128078 143776 3213074 67 16 17  0  0  0
 9  1      0 158442464   1600 88535856    0    0     0 1243799 71940 448461  9  2 88  1  0  0
98  1      0 157803380   1600 88880352    0    0     0 1202819 67982 341319 10  3 86  1  0  0
91  0      0 158008420   1600 89079344    0    0     0 1193093 65173 345779  8  2 89  1  0  0
 8  1      0 157573088   1600 89405324    0    0     0 1193623 66783 363515  7  2 90  1  0  0
10  1      0 157019480   1600 89782516    0    0     0 1189065 71547 377252  9  3 88  1  0  0
 8  1      0 156378688   1600 90110484    0    0     0 1200287 65806 364536  7  2 91  1  0  0
 7  1      0 156151876   1600 90438348    0    0     0 1172949 70579 379747  8  3 89  1  0  0
 5  0      0 155924180   1600 90651608    0    0     0 1197576 71876 400825  9  3 88  1  0  0
 1  1      0 155678644   1600 90995932    0    0     0 1196732 69081 397212  9  3 87  1  0  0
 9  1      0 155279092   1600 91356648    0    0     0 1187526 73829 439264 11  3 85  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 8  1      0 154925512   1600 91701164    0    0     0 1194125 69540 478234  8  3 89  1  0  0
 1  1      0 154274308   1600 92029208    0    0     0 1187986 71822 423058  9  3 87  1  0  0
 4  0      0 154271076   1600 92291692    0    0     0 1194252 75930 468532 12  4 84  1  0  0
130  0      0 154213644   1600 92587012    0    0     0 1187133 79782 476656  9  3 88  1  0  0
 9  0      0 153983524   1600 92915096    0    0     0 1188486 81334 487337 12  4 83  1  0  0
 8  1      0 153416968   1600 93275968    0    0     0 1202510 81507 524009 14  4 81  1  0  0
10  1      0 153053860   1600 93621188    0    0     0 1186867 80413 516498 11  3 85  1  0  0
 8  1      0 152755556   1600 93951388    0    0     0 1192087 75616 495084 13  5 81  1  0  0
 6  1      0 152098892   1600 94319592    0    0     0 1195429 79762 509225 14  5 81  1  0  0
 5  1      0 151826196   1600 94680528    0    0     0 1189759 82959 537272 13  4 82  1  0  0
 6  0      0 151733528   1600 94959096    0    0     0 1180493 80521 534449 12  3 84  1  0  0
 1  1      0 151750868   1600 95254064    0    0     0 1193687 80598 540493 12  4 83  1  0  0
 2  1      0 151387096   1600 95581860    0    0     0 1192457 85197 588349 13  4 82  1  0  0
 3  1      0 151034152   1600 95942348    0    0     0 1193337 86961 607434 14  4 82  1  0  0
10  1      0 150466220   1600 96338208    0    0     0 1192163 90849 669661 14  4 81  1  0  0
 8  1      0 149976884   1600 96698760    0    0     0 1197561 86944 693269 14  4 81  1  0  0
 8  1      0 149514816   1600 97042888    0    0     0 1167842 94370 718854 19  6 74  1  0  0
 2  0      0 149240004   1600 97424308    0    0     0 1202214 100464 816853 18  5 77  1  0  0
 3  1      0 148894864   1600 97801772    0    0     0 1200703 114368 935095 22  7 70  1  0  0
183  0      0 148656532   1600 98194292    0    0     0 1177143 121887 1117314 25  8 67  0  0  0
 5  1      0 148425572   1600 98536460    0    0     0 1198045 143036 1410799 33 10 57  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
192  0      0 147821736   1600 98978356    0    0     0 1186386 157066 1666569 40 11 49  0  0  0
 0  1      0 147342664   1600 99355804    0    0     0 1185261 159321 2122740 49 14 37  0  0  0
232  1      0 147029376   1600 99749052    0    0     0 1195016 157717 2818328 61 16 23  0  0  0
268  0      0 146904296   1600 100060416    0    0     0 1179886 134681 3314035 67 17 16  0  0  0
244  1      0 146812476   1600 100289936    0    0     0 1209706 131827 3265176 68 16 16  0  0  0
247  0      0 146709396   1600 100453836    0    0     0 1159263 127706 3196761 67 17 16  0  0  0
245  0      0 146303664   1600 100683364    0    0     0 1216488 128615 3175236 68 16 16  0  0  0
216  0      0 145993260   1600 100847336    0    0     0 1195109 132012 3195088 68 16 16  0  0  0
258  1      0 146052284   1600 100962128    0    0     0 1192506 133179 3192936 67 16 17  0  0  0
173  1      0 146046432   1600 101076936    0    0     0 1203863 136855 3209280 67 16 17  0  0  0
197  1      0 146014608   1600 101175264    0    0     0 1176404 135893 3198849 67 16 17  0  0  0
210  0      0 145962868   1600 101273644    0    0     0 1194161 134782 3161527 68 16 16  0  0  0
240  0      0 145437540   1600 101475628    0    0     0 1126841 149977 3150181 67 17 16  0  0  0
181  0      0 145192760   1600 101591644    0    0     0 1001612 159813 3190514 67 16 17  0  0  0
65  0      0 144859972   1600 101923120    0    0     0 1263861 75703 434223 10  3 86  1  0  0
97  0      0 144656060   1600 102237112    0    0     0 1328256 78072 392497  6  2 91  1  0  0
10  1      0 144111172   1600 102596992    0    0     0 1239635 70012 353812  8  2 89  1  0  0
 8  1      0 143756212   1600 102924812    0    0     0 1188895 69313 343418  7  2 90  1  0  0
