procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 179715316   1600 77430484    0    0 10699 142169 16828   12  4  1 95  0  0  0
 0  0      0 179721804   1600 77430484    0    0     0 11558 5403 10984  0  0 100  0  0  0
 0  1      0 177695964   1600 77752292    0    0     0 585944 42313 382000  5  4 91  0  0  0
52  1      0 176661180   1600 78252136    0    0     0 1087328 80791 698812  8  4 87  1  0  0
60  1      0 176089444   1600 78681212    0    0     0 1114184 87245 772353  8  5 86  1  0  0
 1  1      0 175071768   1600 79018480    0    0     0 1079304 129487 768245 15  7 78  0  0  0
28  1      0 173874508   1600 79312464    0    0     0 1096576 163124 852297 15  7 78  1  0  0
 6  0      0 173265416   1600 79521712    0    0     0 1124856 182172 919648 14  8 77  0  0  0
 0  1      0 172232892   1600 79671312    0    0     0 1077896 172232 918416 19  9 71  0  0  0
 1  1      0 171863952   1600 79758688    0    0     8 1076232 175970 1020117 16  8 75  0  0  0
 4  2      0 171170700   1600 79833200    0    0     0 1129418 165523 844929 17  7 75  1  0  0
 3  0      0 171061524   1600 79871256    0    0     0 1374968 150958 601470 12  5 83  1  0  0
 0  1      0 170834376   1600 79889544    0    0     0 1382760 150093 597406 12  5 83  1  0  0
57  0      0 170594808   1600 79896348    0    0     0 1416400 153077 673383 12  5 82  1  0  0
 0  1      0 169607772   1600 80408492    0    0     0 1423396 124322 475398 12  5 82  1  0  0
 3  0      0 169272740   1600 81000584    0    0     0 1411047 117890 467842  8  4 87  1  0  0
114  0      0 168514404   1600 81560676    0    0     0 1335184 113918 426654 12  4 82  1  0  0
 2  1      0 167818528   1600 82064056    0    0     0 1193457 100911 398351 11  4 84  1  0  0
 0  1      0 167298152   1600 82573240    0    0     0 1197862 111457 458805  5  2 91  1  0  0
127  0      0 166657348   1600 83083604    0    0     0 1181908 104602 433230  8  3 88  1  0  0
 3  0      0 166133356   1600 83596256    0    0     0 1193721 110099 450200 11  5 83  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
32  1      0 165463460   1600 84107532    0    0     0 1192046 109528 488284  8  4 87  1  0  0
 1  1      0 164862468   1600 84615844    0    0     0 1195113 110694 479510 10  4 86  1  0  0
 1  2      0 164392888   1600 85107744    0    0     0 1187853 109543 490452 13  5 81  1  0  0
 1  2      0 163728636   1600 85631788    0    0     0 1197328 119253 561997 12  6 81  1  0  0
 3  1      0 163019236   1600 86123992    0    0     0 1184271 115859 549596 13  5 82  1  0  0
13  1      0 162040796   1600 86632180    0    0     0 1197754 116255 602022 13  5 81  1  0  0
159  2      0 161696820   1600 87156676    0    0     0 1196946 129592 666852 15  7 78  1  0  0
 3  0      0 161010128   1600 87682772    0    0     0 1187332 126128 685627 14  5 80  1  0  0
 2  1      0 160042276   1600 88191156    0    0     0 1182381 130894 730718 16  6 77  1  0  0
152  2      0 159795872   1600 88715628    0    0     0 1196485 134336 822677 15  6 78  1  0  0
 1  1      0 159079564   1600 89239980    0    0     0 1187862 137605 862991 23  9 68  1  0  0
227  1      0 158392780   1600 89769264    0    0     0 1197731 141840 993634 21  8 70  1  0  0
 3  1      0 157851332   1600 90297484    0    0     0 1184708 147293 1088736 25 10 65  1  0  0
12  1      0 157145556   1600 90825068    0    0     0 1191481 160431 1232586 30 11 58  0  0  0
207  1      0 156420664   1600 91365924    0    0     0 1203071 179836 1529814 32 13 54  0  0  0
221  1      0 155992432   1600 91890432    0    0     0 1179594 183744 1812500 45 15 40  0  0  0
206  1      0 155335228   1600 92414980    0    0     0 1190584 196630 2415138 54 18 28  0  0  0
231  1      0 154868652   1600 92890324    0    0     0 1183067 164475 3082505 65 20 14  0  0  0
257  1      0 154461772   1600 93267564    0    0     0 1196094 178037 3255571 64 19 17  0  0  0
166  0      0 154177876   1600 93565576    0    0     0 1136823 171229 3086768 65 20 15  0  0  0
175  1      0 153719488   1600 93934200    0    0     0 1212727 158126 3284808 64 20 16  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
213  1      0 153574476   1600 94167792    0    0     0 1230101 151969 3095239 66 19 15  0  0  0
264  2      0 153311556   1600 94416056    0    0     0 1205001 153615 3277356 64 20 16  0  0  0
 1  1      0 162295240   1600 85435912    0    0     0 1044029 131533 2104978 45 13 41  0  0  0
 5  1      0 161608984   1600 85976824    0    0     0 1333900 100129 382653 11  4 85  1  0  0
 1  1      0 161230648   1600 86435644    0    0     0 1182389 93423 371631  6  2 92  1  0  0
 2  1      0 160806180   1600 86894504    0    0     0 1194370 86454 324688  7  2 90  1  0  0
 1  1      0 160051228   1600 87337016    0    0     0 1192180 93224 355444  7  2 90  1  0  0
 1  1      0 159845872   1600 87812276    0    0     0 1194417 89839 373405  7  3 90  1  0  0
 4  2      0 159425104   1600 88287572    0    0     0 1189382 92863 385909 11  4 85  1  0  0
 0  1      0 159016624   1600 88746464    0    0     0 1186284 89813 367506  9  3 87  1  0  0
102  1      0 158466516   1600 89221760    0    0     0 1189351 95849 421837  5  2 92  1  0  0
 1  2      0 158076904   1600 89697004    0    0     0 1205243 91799 402136  9  3 87  1  0  0
20  1      0 157679492   1600 90172272    0    0     0 1178669 93554 417839 11  4 85  1  0  0
 1  2      0 157068808   1600 90647544    0    0     0 1204086 98604 463045  7  3 90  1  0  0
 2  1      0 156625280   1600 91122848    0    0     0 1184877 97208 464581 10  4 85  1  0  0
 2  1      0 156196800   1600 91581792    0    0     0 1196018 93896 447453 10  4 86  1  0  0
 1  1      0 155583324   1600 92073496    0    0     0 1189139 103819 506109  9  4 87  1  0  0
 1  1      0 155049008   1600 92548908    0    0     0 1187973 103254 504793  9  4 86  1  0  0
147  0      0 154598816   1600 93038604    0    0     0 1183145 99365 527344 10  4 85  1  0  0
 2  0      0 154127292   1600 93515916    0    0     0 1189844 103818 570476 11  5 83  1  0  0
 4  0      0 153646220   1600 93991344    0    0     0 1190901 111777 579089 11  4 84  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  1      0 153178156   1600 94483108    0    0     0 1203652 106731 613563 11  4 84  1  0  0
17  1      0 152622804   1600 94974836    0    0     0 1184508 115772 674194 14  5 80  1  0  0
 2  1      0 152258272   1600 95466692    0    0     0 1187776 118548 711774 20  7 73  1  0  0
 4  0      0 151774592   1600 95942064    0    0     0 1146742 114246 736615 17  6 76  1  0  0
172  0      0 151229136   1600 96450276    0    0     0 1234005 126124 828315 15  6 78  1  0  0
 4  1      0 150700460   1600 96974872    0    0     0 1195625 136680 912935 22  8 70  0  0  0
160  0      0 150321316   1600 97483192    0    0     0 1193283 137645 964404 23  9 68  0  0  0
172  0      0 149747248   1600 97975084    0    0     0 1185327 149513 1065872 26 10 64  0  0  0
137  1      0 149215376   1600 98499828    0    0     0 1204842 155848 1223579 30 11 59  0  0  0
192  1      0 148356024   1600 99024640    0    0     0 1185622 163799 1455887 34 12 54  0  0  0
196  1      0 148271244   1600 99549636    0    0     0 1189886 189663 1772683 37 14 49  0  0  0
