plugin	wal_threads	phase	metric	value	unit
barman	1	pgbench	rows_updated_per_s	402053	rows_updated/s
barman	1	pgbench	tps	20102.666243	tps
barman	1	pgbench	duration_s	963	s
barman	1	wal_gen	total_gb	403.72	GB
barman	1	wal_gen	avg_rate_kb_s	473093	KB/s
barman	1	wal_during	avg_archive_segs_per_min	91	segs/min
barman	1	wal_during	avg_archive_mb_per_min	1456	MB/min
barman	1	wal_drain	drain_time_s	480+	s
barman	1	wal_drain	avg_rate_segs_per_min	108	segs/min
barman	1	wal_drain	avg_drain_segs_per_min	108	segs/min
barman	1	wal_drain	avg_drain_mb_per_min	1728	MB/min
barman	8	pgbench	rows_updated_per_s	388066	rows_updated/s
barman	8	pgbench	tps	19403.317335	tps
barman	8	pgbench	duration_s	964	s
barman	8	wal_gen	total_gb	400.90	GB
barman	8	wal_gen	avg_rate_kb_s	465997	KB/s
barman	8	wal_during	avg_archive_segs_per_min	474	segs/min
barman	8	wal_during	avg_archive_mb_per_min	7584	MB/min
barman	8	wal_drain	drain_time_s	480+	s
barman	8	wal_drain	avg_rate_segs_per_min	537	segs/min
barman	8	wal_drain	avg_drain_segs_per_min	537	segs/min
barman	8	wal_drain	avg_drain_mb_per_min	8592	MB/min
barman	32	pgbench	rows_updated_per_s	363784	rows_updated/s
barman	32	pgbench	tps	18189.197303	tps
barman	32	pgbench	duration_s	964	s
barman	32	wal_gen	total_gb	401.96	GB
barman	32	wal_gen	avg_rate_kb_s	469426	KB/s
barman	32	wal_during	avg_archive_segs_per_min	997	segs/min
barman	32	wal_during	avg_archive_mb_per_min	15952	MB/min
barman	32	wal_drain	drain_time_s	480+	s
barman	32	wal_drain	avg_rate_segs_per_min	1166	segs/min
barman	32	wal_drain	avg_drain_segs_per_min	1166	segs/min
barman	32	wal_drain	avg_drain_mb_per_min	18656	MB/min
opera	1	pgbench	rows_updated_per_s	400653	rows_updated/s
opera	1	pgbench	tps	20032.648256	tps
opera	1	pgbench	duration_s	961	s
opera	1	wal_gen	total_gb	401.46	GB
opera	1	wal_gen	avg_rate_kb_s	469125	KB/s
opera	1	wal_during	avg_archive_segs_per_min	108	segs/min
opera	1	wal_during	avg_archive_mb_per_min	1728	MB/min
opera	1	wal_drain	drain_time_s	480+	s
opera	1	wal_drain	avg_rate_segs_per_min	124	segs/min
opera	1	wal_drain	avg_drain_segs_per_min	124	segs/min
opera	1	wal_drain	avg_drain_mb_per_min	1984	MB/min
opera	8	pgbench	rows_updated_per_s	401105	rows_updated/s
opera	8	pgbench	tps	20055.272720	tps
opera	8	pgbench	duration_s	963	s
opera	8	wal_gen	total_gb	401.05	GB
opera	8	wal_gen	avg_rate_kb_s	469443	KB/s
opera	8	wal_during	avg_archive_segs_per_min	563	segs/min
opera	8	wal_during	avg_archive_mb_per_min	9008	MB/min
opera	8	wal_drain	drain_time_s	480+	s
opera	8	wal_drain	avg_rate_segs_per_min	597	segs/min
opera	8	wal_drain	avg_drain_segs_per_min	597	segs/min
opera	8	wal_drain	avg_drain_mb_per_min	9552	MB/min
opera	32	pgbench	rows_updated_per_s	397932	rows_updated/s
opera	32	pgbench	tps	19896.600936	tps
opera	32	pgbench	duration_s	962	s
opera	32	wal_gen	total_gb	402.89	GB
opera	32	wal_gen	avg_rate_kb_s	470279	KB/s
opera	32	wal_during	avg_archive_segs_per_min	1176	segs/min
opera	32	wal_during	avg_archive_mb_per_min	18816	MB/min
opera	32	wal_drain	drain_time_s	480+	s
opera	32	wal_drain	avg_rate_segs_per_min	1294	segs/min
opera	32	wal_drain	avg_drain_segs_per_min	1294	segs/min
opera	32	wal_drain	avg_drain_mb_per_min	20704	MB/min
dalibo	1	pgbench	rows_updated_per_s	401819	rows_updated/s
dalibo	1	pgbench	tps	20090.960315	tps
dalibo	1	pgbench	duration_s	963	s
dalibo	1	wal_gen	total_gb	400.48	GB
dalibo	1	wal_gen	avg_rate_kb_s	467521	KB/s
dalibo	1	wal_during	avg_archive_segs_per_min	203	segs/min
dalibo	1	wal_during	avg_archive_mb_per_min	3248	MB/min
dalibo	1	wal_drain	drain_time_s	480+	s
dalibo	1	wal_drain	avg_rate_segs_per_min	198	segs/min
dalibo	1	wal_drain	avg_drain_segs_per_min	198	segs/min
