timestamp lsn_bytes lsn_delta_kb rate_kb_s
19:01:41 14126415872 13795328 4598442
19:01:43 17045651456 2850816 1425408
19:01:45 19679674368 2572288 1286144
19:01:48 22397583360 2654208 884736
19:01:50 24876802048 2421112 1210556
19:01:52 27061649408 2133640 1066820
19:01:55 28420603904 1327104 442368
19:01:57 29601579008 1153296 576648
19:02:00 30802968576 1173232 391077
19:02:03 32413581312 1572864 524288
19:02:05 33638318080 1196032 598016
19:02:07 34899902464 1232016 616008
19:02:10 36188454912 1258352 419450
19:02:12 37463523328 1245184 622592
19:02:15 39040581632 1540096 513365
19:02:17 40064638976 1000056 500028
19:02:20 40718303232 638344 212781
19:02:22 41292898304 561128 280564
19:02:25 42547019776 1224728 408242
19:02:27 43687862272 1114104 557052
19:02:30 45046824960 1327112 442370
19:02:32 46187675648 1114112 557056
19:02:35 47328526336 1114112 371370
19:02:37 48495116288 1139248 569624
19:02:39 49694113792 1170896 585448
19:02:42 50801410048 1081344 360448
19:02:44 51992592384 1163264 581632
19:02:47 53150220288 1130496 376832
19:02:49 54458843136 1277952 638976
19:02:52 55733911552 1245184 415061
19:02:54 57059311616 1294336 647168
19:02:57 58367934464 1277952 425984
19:02:59 59273773056 884608 442304
19:03:02 60012101632 721024 240341
19:03:05 60606676992 580640 193546
19:03:07 61622714368 992224 496112
19:03:10 62847451136 1196032 398677
19:03:12 64038625280 1163256 581628
19:03:15 65213030400 1146880 382293
19:03:17 66397462528 1156672 578336
19:03:20 67632291840 1205888 401962
19:03:22 68887248896 1225544 612772
19:03:25 70212648960 1294336 431445
19:03:28 71454154752 1212408 404136
19:03:30 72813117440 1327112 663556
19:03:33 74090741760 1247680 415893
19:03:35 75419574272 1297688 648844
19:03:38 76806094848 1354024 451341
19:03:41 77979893760 1146288 382096
19:03:44 78718115840 720920 240306
19:03:46 79410673056 676325 338162
19:03:49 80011329536 586578 195526
19:03:51 80681631744 654592 327296
19:03:54 81872814080 1163264 387754
19:03:56 83038691328 1138552 569276
19:03:58 84305510400 1237128 618564
19:04:01 85429583872 1097728 365909
19:04:03 86738206720 1277952 638976
19:04:06 87919165440 1153280 384426
19:04:08 89187672064 1238776 619388
19:04:11 90334920704 1120360 373453
19:04:13 91586813952 1222552 611276
19:04:16 92778004480 1163272 387757
19:04:18 94204067840 1392640 696320
19:04:21 95543173120 1307720 435906
19:04:23 96955531264 1379256 689628
19:04:26 98009874432 1029632 343210
19:04:28 98798952448 770584 385292
19:04:31 99530260480 714168 238056
19:04:33 100325443776 776546 388273
19:04:36 101077049344 733989 244663
19:04:38 101955141632 857512 428756
19:04:41 103095992320 1114112 371370
19:04:44 104572387328 1441792 480597
19:04:46 105696460800 1097728 548864
19:04:49 106976624640 1250160 416720
19:04:51 108145934336 1141904 570952
19:04:54 109417775104 1242032 414010
19:04:56 110715813888 1267616 633808
19:04:59 112059817984 1312504 437501
19:05:02 113548197888 1453496 484498
19:05:04 114873597952 1294336 647168
19:05:07 116266106880 1359872 453290
19:05:10 117637439488 1339192 446397
19:05:12 118765412352 1101536 550768
19:05:15 119604756480 819672 273224
19:05:17 120333090816 711264 355632
19:05:20 120988286976 639840 213280
19:05:22 121574965248 572928 286464
19:05:24 122321428480 728968 364484
19:05:27 123362861056 1017024 339008
19:05:29 124594995200 1203256 601628
19:05:31 125789790208 1166792 583396
19:05:34 126886076416 1070592 356864
19:05:36 127976603648 1064968 532484
19:05:38 129087037440 1084408 542204
19:05:41 130191196160 1078280 359426
19:05:43 131281715200 1064960 532480
19:05:45 132506451968 1196032 598016
19:05:48 133714411520 1179648 393216
19:05:50 134932930560 1189960 594980
19:05:53 136116559872 1155888 385296
19:05:55 137455722496 1307776 653888
19:05:57 138698620928 1213768 606884
19:06:00 139894464512 1167816 389272
19:06:03 140737691648 823464 274488
19:06:06 141328146432 576616 192205
19:06:08 141897150864 555668 277834
19:06:10 142757330944 840019 420009
19:06:13 143831072768 1048576 349525
19:06:15 144955129856 1097712 548856
19:06:17 146079219712 1097744 548872
19:06:20 147287138304 1179608 393202
19:06:22 148434722816 1120688 560344
19:06:25 149602435072 1140344 380114
19:06:27 150832693248 1201424 600712
19:06:30 152102240256 1239792 413264
19:06:32 153318039552 1187304 593652
19:06:34 154568482816 1221136 610568
19:06:37 155832467456 1234360 411453
19:06:40 157168959488 1305168 435056
19:06:42 158375510016 1178272 589136
19:06:45 159528646760 1126110 375370
19:06:47 160264110080 718225 359112
19:06:50 160927055872 647408 215802
19:06:52 161527586816 586456 293228
19:06:55 162134892544 593072 197690
19:06:57 163443638272 1278072 639036
19:07:00 164735483904 1261568 420522
19:07:03 166102441984 1334920 444973
19:07:06 167470170112 1335672 445224
19:07:08 168783790080 1282832 641416
19:07:11 169902866432 1092848 364282
19:07:13 171110817792 1179640 589820
19:07:15 172273328128 1135264 567632
19:07:18 173509967872 1207656 402552
19:07:20 174768259072 1228800 614400
19:07:23 175925886976 1130496 376832
19:07:25 177205100544 1249232 624616
19:07:28 178425692160 1191984 397328
19:07:30 179363118576 915455 457727
19:07:33 180084332304 704310 234770
19:07:35 181001953280 896114 448057
19:07:38 181663694848 646232 215410
19:07:40 182300008448 621400 310700
19:07:43 183391748096 1066152 355384
19:07:45 184750702592 1327104 663552
19:07:47 185857998848 1081344 540672
19:07:50 187204984832 1315416 438472
19:07:53 188391358464 1158568 386189
19:07:55 189548986368 1130496 565248
19:07:57 190773723136 1196032 598016
19:08:00 192199786496 1392640 464213
19:08:03 193525186560 1294336 431445
19:08:05 194764144640 1209920 604960
19:08:08 195991429120 1198520 399506
19:08:10 197333614592 1310728 655364
19:08:13 198524796928 1163264 387754
19:08:15 199407837184 862344 431172
19:08:18 200192851968 766616 255538
19:08:20 200800387072 593296 296648
19:08:23 201408797544 594150 198050
19:08:25 202012983296 590025 295012
19:08:27 202823458816 791480 395740
19:08:30 204158386176 1303640 434546
19:08:32 205202128896 1019280 509640
19:08:34 206410088448 1179648 589824
19:08:37 207513321472 1077376 359125
19:08:39 208624680960 1085312 542656
19:08:41 209799077888 1146872 573436
19:08:44 210973491200 1146888 382296
19:08:46 212114341888 1114112 557056
19:08:49 213342953472 1199816 399938
19:08:51 214479929344 1110328 555164
19:08:53 215721443328 1212416 606208
19:08:56 216879071232 1130496 376832
19:08:58 218156515328 1247504 623752
19:09:01 219548581888 1359440 453146
19:09:04 220531105792 959496 319832
19:09:06 221180753600 634421 317210
19:09:09 221996122112 796258 265419
19:09:12 222566547456 557056 185685
19:09:14 223951273984 1352272 676136
19:09:17 225167007744 1187240 395746
19:09:20 226358198272 1163272 387757
19:09:22 227717152768 1327104 663552
19:09:25 228925112320 1179648 393216
19:09:27 230195281920 1240400 620200
19:09:30 231430856704 1206616 402205
19:09:32 232610332672 1151832 575916
19:09:35 233996189696 1353376 451125
19:09:37 235216560128 1191768 595884
19:09:40 236638519296 1388632 462877
19:09:43 237934477312 1265584 421861
19:09:45 239268102144 1302368 651184
19:09:48 240173293568 883976 294658
19:09:50 240853712896 664472 332236
19:09:53 241542299648 672448 224149
19:09:56 242193416192 635856 211952
19:09:58 243071918080 857912 428956
19:10:01 244319453184 1218296 406098
19:10:04 245644550144 1294040 431346
19:10:06 246892478464 1218680 609340
19:10:09 248123195392 1201872 400624
19:10:11 249316179968 1165024 582512
19:10:14 250550943744 1205824 401941
19:10:16 251758903296 1179648 589824
19:10:19 253156368384 1364712 454904
19:10:22 254510366720 1322264 440754
19:10:24 255804645376 1263944 631972
19:10:27 257043709952 1210024 403341
19:10:29 258285232128 1212424 606212
19:10:32 259392536576 1081352 360450
19:10:34 260360478720 945256 472628
19:10:37 261031643560 655434 218478
19:10:39 261720208048 672426 336213
19:10:42 262378881024 643235 214411
19:10:45 263284850688 884736 294912
19:10:47 264585338880 1270008 635004
19:10:49 265868541952 1253128 626564
19:10:52 267143610368 1245184 415061
19:10:54 268368338944 1196024 598012
19:10:57 269704740864 1305080 435026
19:11:00 271002370048 1267216 422405
19:11:02 272294207488 1261560 630780
19:11:05 273635221504 1309584 436528
19:11:07 274827567104 1164400 582200
19:11:10 276123000832 1265072 421690
19:11:12 277478375424 1323608 661804
19:11:15 278786998272 1277952 425984
19:11:18 279802036224 991248 330416
19:11:21 280559067136 739288 246429
19:11:23 281168814080 595456 297728
19:11:25 281771679744 588736 294368
19:11:28 282407968768 621376 207125
19:11:30 283501387776 1067792 533896
19:11:32 284616826880 1089296 544648
19:11:35 285826850816 1181664 393888
19:11:37 286923948032 1071384 535692
19:11:39 288118546432 1166600 583300
19:11:42 289222426624 1078008 359336
19:11:44 290430386176 1179648 589824
19:11:47 291621568512 1163264 387754
19:11:49 292846305280 1196032 598016
19:11:52 294087802880 1212400 404133
19:11:54 295312556032 1196048 598024
19:11:57 296657920000 1313832 437944
19:11:59 298030465024 1340376 670188
19:12:03 299759181824 1688200 422050
19:12:06 300623513352 844073 281357
19:12:08 301361485424 720675 360337
19:12:11 302056325120 678554 226184
19:12:14 302795194368 721552 240517
19:12:16 303991586816 1168352 584176
19:12:19 305194328064 1174552 391517
19:12:21 306351964160 1130504 565252
19:12:24 307548815360 1168800 389600
19:12:26 308959985664 1378096 689048
19:12:29 310234095616 1244248 414749
19:12:31 311418683392 1156824 578412
19:12:34 312768913408 1318584 439528
19:12:36 313950527488 1153920 576960
19:12:39 315294220288 1312200 437400
19:12:42 316502171648 1179640 393213
19:12:44 317797474304 1264944 632472
19:12:47 319021727744 1195560 398520
19:12:49 320139583488 1091656 545828
19:12:52 320875274240 718448 239482
19:12:55 321514659840 624400 208133
19:12:57 322103739944 575273 287636
19:13:00 322740068352 621414 207138
19:13:02 324202921984 1428568 714284
19:13:06 325872295936 1630248 407562
19:13:08 327161823232 1259304 629652
19:13:11 328313339904 1124528 374842
19:13:13 329521299456 1179648 589824
19:13:16 330770096128 1219528 406509
19:13:18 332070092800 1269528 634764
19:13:21 333305462784 1206416 402138
19:13:23 334588018688 1252496 626248
19:13:26 335816507392 1199696 399898
19:13:28 337071046656 1225136 612568
19:13:31 338315649024 1215432 405144
19:13:33 339398248720 1057226 528613
19:13:36 340309049344 889453 296484
19:13:38 341029497592 703562 351781
19:13:41 341660884992 616589 205529
19:13:43 342288760832 613160 306580
19:13:46 343161167872 851960 283986
19:13:48 344469798912 1277960 638980
19:13:51 345946193920 1441792 480597
19:13:54 347193786368 1218352 406117
19:13:56 348345335808 1124560 562280
19:13:59 349620404224 1245184 415061
19:14:01 350878695424 1228800 614400
19:14:04 352120209408 1212416 404138
19:14:06 353412038656 1261552 630776
19:14:09 354670346240 1228816 409605
19:14:11 355861528576 1163264 581632
19:14:14 357072306176 1182400 394133
19:14:16 358237782016 1138160 569080
19:14:19 359284080640 1021776 340592
19:14:21 359980864896 680453 340226
19:14:23 360627314688 631298 315649
19:14:26 361239019520 597368 199122
19:14:28 361825419264 572656 286328
19:14:30 362708688896 862568 431284
19:14:33 363964923904 1226792 408930
19:14:35 365021888512 1032192 516096
19:14:37 366129184768 1081344 540672
19:14:40 367337144320 1179648 393216
19:14:42 368410886144 1048576 524288
19:14:44 369551736832 1114112 557056
19:14:46 370659033088 1081344 540672
19:14:49 371917324288 1228800 409600
19:14:52 373276278784 1327104 442368
19:14:54 374590234624 1283160 641580
19:14:57 375876739072 1256352 418784
19:15:00 377269256192 1359880 453293
19:15:03 378873743592 1566882 522294
19:15:05 379851096064 954445 477222
19:15:08 380642443264 772800 257600
19:15:11 381286252288 628719 209573
19:15:13 381924080840 622879 311439
19:15:16 382849949696 904168 301389
19:15:18 384159850496 1279200 639600
19:15:21 385345929216 1158280 386093
19:15:23 386551463936 1177280 588640
19:15:26 387788570624 1208112 402704
19:15:28 389013307392 1196032 598016
19:15:31 390318030848 1274144 424714
19:15:33 391496335360 1150688 575344
19:15:36 392670740480 1146880 382293
19:15:38 393818570752 1120928 560464
