timestamp rx_kb/s tx_kb/s
03:42:54 23 7
03:42:55 3 0
03:42:56 29 6587
03:42:57 472 53882
03:42:58 430 52971
03:42:59 439 51873
03:43:00 35 18
03:43:01 420 50830
03:43:02 342 49808
03:43:03 340 49007
03:43:04 371 47894
03:43:05 1 0
03:43:06 347 46987
03:43:07 424 45912
03:43:08 411 44960
03:43:09 490 44668
03:43:10 315 24549
03:43:11 134 18444
03:43:12 378 42494
03:43:13 351 41111
03:43:14 388 40203
03:43:15 334 39313
03:43:16 324 38305
03:43:17 294 37286
03:43:18 363 28288
03:43:19 41 9145
03:43:20 284 35505
03:43:21 351 34821
03:43:22 352 33779
03:43:23 321 32772
03:43:24 396 32069
03:43:25 455 31314
03:43:26 410 30440
03:43:27 189 14726
03:43:28 219 15003
03:43:29 405 28974
03:43:30 326 28303
03:43:31 317 27433
03:43:32 300 26933
03:43:33 340 26307
03:43:34 14 4
03:43:35 248 25909
03:43:36 457 35212
03:43:37 456 43901
03:43:38 388 43525
03:43:39 186 12510
03:43:40 333 31236
03:43:41 425 42565
03:43:42 339 42052
03:43:43 373 41609
03:43:44 12 4
03:43:45 336 41296
03:43:46 427 40855
03:43:47 361 35305
03:43:48 47 4838
03:43:49 344 39871
03:43:50 12 8
03:43:51 334 39441
03:43:52 298 38882
03:43:53 12 4
03:43:54 416 38610
03:43:55 303 38083
03:43:56 0 0
03:43:57 302 37689
03:43:58 330 37171
03:43:59 466 37986
03:44:00 451 36297
03:44:01 386 33604
03:44:02 25 2761
03:44:03 442 35880
03:44:05 413 34950
03:44:06 356 35004
03:44:07 333 34606
03:44:08 312 34227
03:44:09 379 33654
03:44:10 409 33404
03:44:11 392 33226
03:44:12 164 5616
03:44:13 201 27224
03:44:14 357 32293
03:44:15 359 32013
03:44:16 327 31550
03:44:17 388 31560
03:44:18 254 23343
03:44:19 80 7689
03:44:20 427 31034
03:44:21 402 30507
03:44:22 418 30393
03:44:23 376 29772
03:44:24 382 29662
03:44:25 376 25440
03:44:26 63 4485
03:44:27 368 29157
03:44:28 389 29429
03:44:29 336 28943
03:44:30 374 28859
03:44:31 361 28766
03:44:32 4 1
03:44:33 329 28531
03:44:34 306 28660
03:44:35 313 28516
03:44:36 29 14
03:44:37 289 28695
03:44:38 304 28599
03:44:39 39 20
03:44:40 310 28922
03:44:41 318 29001
03:44:42 0 0
03:44:43 312 29154
03:44:44 23 6
03:44:45 382 29572
03:44:46 418 30321
03:44:47 0 0
03:44:48 461 30898
03:44:49 0 0
03:44:50 326 31368
03:44:51 275 32357
03:44:52 1 0
03:44:53 356 33596
03:44:54 329 34785
03:44:55 395 36276
03:44:56 431 38465
03:44:57 398 40942
03:44:58 138 64
03:44:59 345 45293
03:45:00 429 47921
03:45:01 519 52001
03:45:02 523 56567
03:45:03 131 2066
03:45:04 484 58752
03:45:05 449 63898
03:45:06 557 66930
03:45:07 158 9494
03:45:08 300 51371
03:45:09 299 25433
03:45:10 346 25432
03:45:11 348 25800
03:45:12 310 25841
03:45:13 2 0
03:45:14 298 25751
03:45:15 307 26195
03:45:16 267 25875
03:45:17 286 26054
03:45:18 323 26107
03:45:19 5 1
03:45:20 383 26748
03:45:21 321 26451
03:45:22 331 26279
03:45:23 420 26568
03:45:24 433 26457
03:45:25 367 26652
03:45:26 7 2
03:45:27 342 26740
03:45:28 360 26929
03:45:29 371 26907
03:45:30 4 0
03:45:31 318 27101
03:45:32 421 27497
03:45:33 8 2
03:45:34 422 27219
03:45:35 0 0
03:45:36 525 27995
03:45:37 17 9
03:45:38 484 28050
03:45:39 263 27669
03:45:40 4 0
03:45:41 346 27982
03:45:42 100 49
03:45:43 294 28499
03:45:44 357 28663
03:45:45 0 0
03:45:46 316 32003
03:45:47 309 35254
03:45:48 282 37670
03:45:49 341 28264
03:45:50 96 11555
03:45:51 379 41443
03:45:52 484 43265
03:45:53 401 44343
03:45:54 370 45524
03:45:55 415 46381
03:45:56 441 47359
03:45:57 17 9
03:45:58 370 48233
03:45:59 410 48934
03:46:00 415 49646
03:46:01 531 50398
03:46:02 380 50219
03:46:03 9 2
03:46:04 455 50243
03:46:05 451 50434
03:46:06 342 50052
03:46:07 383 50597
03:46:08 8 2
03:46:09 445 51276
03:46:10 422 49796
03:46:11 389 49864
03:46:12 4 6
03:46:13 430 49731
03:46:14 429 48590
03:46:15 465 48851
03:46:16 169 12367
03:46:17 221 19764
03:46:18 363 32587
03:46:19 327 33296
03:46:20 379 34558
03:46:21 353 35575
03:46:22 37 19
03:46:23 402 37250
03:46:24 466 39086
03:46:25 397 40729
03:46:26 0 0
03:46:27 401 43066
03:46:28 0 0
03:46:29 429 45625
03:46:30 492 49218
03:46:31 0 0
03:46:32 536 53350
03:46:33 12 3
03:46:34 516 58073
03:46:35 567 61565
03:46:36 6 1
03:46:37 475 64825
03:46:38 0 0
03:46:39 439 67908
03:46:40 0 0
03:46:41 440 69745
03:46:42 414 70877
03:46:43 13 4
03:46:44 443 71113
03:46:45 458 71915
03:46:46 417 71630
03:46:47 6 1
03:46:48 408 71585
03:46:49 450 60900
03:46:50 388 28332
03:46:51 366 28276
03:46:52 324 28343
03:46:53 95 44
03:46:54 282 28380
03:46:55 346 28597
03:46:56 311 28361
03:46:57 302 28632
03:46:58 369 28767
03:46:59 341 28662
03:47:00 8 2
03:47:01 292 28763
03:47:02 365 28780
03:47:03 330 28699
03:47:04 381 28861
03:47:05 338 25358
03:47:06 88 3791
03:47:07 384 29193
03:47:08 310 29095
03:47:09 330 29240
03:47:10 313 29251
03:47:12 267 25916
03:47:13 22 3659
03:47:14 354 29407
03:47:15 410 29616
03:47:16 350 29616
03:47:17 314 29862
03:47:18 3 1
03:47:19 328 29838
03:47:20 330 30135
03:47:21 371 30206
03:47:22 50 26
03:47:23 263 30285
03:47:24 376 30398
03:47:25 12 3
03:47:26 396 31119
03:47:27 416 30996
03:47:28 0 0
03:47:29 360 30828
03:47:30 444 31547
03:47:31 4 1
03:47:32 344 31290
03:47:33 0 0
03:47:34 398 31615
03:47:35 365 31737
03:47:36 1 0
03:47:37 355 31990
03:47:38 205 9391
03:47:39 146 22874
03:47:40 522 34360
03:47:41 0 0
03:47:42 354 32922
03:47:43 341 37499
03:47:44 27 7
03:47:45 422 43218
