timestamp rx_kb/s tx_kb/s
04:47:31 593 15579
04:47:32 614 15526
04:47:33 685 15607
04:47:34 661 15609
04:47:36 648 15500
04:47:37 662 15599
04:47:38 598 15550
04:47:39 635 15614
04:47:40 718 46994
04:47:41 47 5251
04:47:42 941 110173
04:47:43 993 92642
04:47:44 102 17540
04:47:45 1043 110144
04:47:46 938 82775
04:47:47 270 28012
04:47:48 1078 110621
04:47:49 1071 110375
04:47:50 824 73662
04:47:51 174 36371
04:47:52 903 73772
04:47:53 836 64419
04:47:54 836 63807
04:47:55 768 61888
04:47:56 962 60637
04:47:57 816 59533
04:47:58 767 58368
04:47:59 336 71
04:48:00 694 57243
04:48:01 697 55929
04:48:02 837 55036
04:48:03 875 53788
04:48:04 897 52200
04:48:05 839 51200
04:48:06 910 49886
04:48:07 979 48755
04:48:08 706 47218
04:48:09 660 45891
04:48:10 649 44294
04:48:11 582 33136
04:48:12 83 10099
04:48:13 740 41960
04:48:14 693 40835
04:48:15 701 39513
04:48:16 673 38614
04:48:17 761 37292
04:48:18 337 67
04:48:19 580 35974
04:48:20 687 35623
04:48:21 798 34310
04:48:22 754 33351
04:48:23 754 31953
04:48:24 343 56
04:48:25 617 31326
04:48:26 861 30453
04:48:27 785 29873
04:48:28 583 25534
04:48:29 57 3584
04:48:30 594 28700
04:48:31 640 44296
04:48:32 669 51929
04:48:33 655 51223
04:48:34 807 50564
04:48:35 752 49977
04:48:36 719 49102
04:48:37 915 48932
04:48:38 820 48370
04:48:39 712 47712
04:48:40 887 47684
04:48:41 727 46566
04:48:42 703 45899
04:48:43 832 45515
04:48:44 662 44635
04:48:45 765 44189
04:48:46 818 40864
04:48:47 170 2688
04:48:48 587 43259
04:48:49 691 42611
04:48:50 775 41836
04:48:51 838 41437
04:48:52 852 41313
04:48:53 869 40262
04:48:54 801 39971
04:48:55 726 39513
04:48:56 699 38961
04:48:57 366 70
04:48:58 390 38221
04:48:59 670 37896
04:49:00 707 37260
04:49:01 831 36986
04:49:02 743 36644
04:49:03 18 7
04:49:04 802 36060
04:49:05 723 35861
04:49:06 739 35530
04:49:07 767 28121
04:49:08 353 6844
04:49:09 603 35130
04:49:10 812 34018
04:49:11 774 34018
04:49:12 343 72
04:49:13 540 33450
04:49:14 816 33605
04:49:15 784 33061
04:49:16 839 32523
04:49:17 363 70
04:49:18 492 32452
04:49:19 785 32471
04:49:20 351 62
04:49:21 590 32316
04:49:22 780 32617
04:49:23 579 32411
04:49:24 945 32702
04:49:25 702 32420
04:49:26 704 32317
04:49:27 602 32497
04:49:28 757 32765
04:49:29 717 33327
04:49:30 746 33496
04:49:31 793 34327
04:49:32 771 34604
04:49:33 761 35405
04:49:34 754 36503
04:49:35 888 38170
04:49:36 789 39405
04:49:37 904 41243
04:49:38 866 43453
04:49:39 842 46285
04:49:40 820 49649
04:49:41 917 54267
04:49:42 845 59558
