timestamp lsn_bytes lsn_delta_kb rate_kb_s
04:08:48 13925089280 13598720 6799360
04:08:51 16341008384 2359296 786432
04:08:53 18337497088 1949696 974848
04:08:55 20357816320 1972968 986484
04:08:58 22280142848 1877272 625757
04:09:00 24097251328 1774520 887260
04:09:03 26122125312 1977416 659138
04:09:05 27397185536 1245176 622588
04:09:07 28571598848 1146888 573444
04:09:10 29880221696 1277952 425984
04:09:12 31088173056 1179640 589820
04:09:15 32447135744 1327112 442370
04:09:17 33573437440 1099904 549952
04:09:20 34762391552 1161088 387029
04:09:22 35852910592 1064960 532480
04:09:25 37278973952 1392640 464213
04:09:28 38470148096 1163256 387752
04:09:30 39704107632 1205038 602519
04:09:33 40483422208 761049 253683
04:09:35 41104179200 606208 303104
04:09:38 42077257728 950272 316757
04:09:40 43167776768 1064960 532480
04:09:43 44107300864 917504 305834
04:09:45 45181042688 1048576 524288
04:09:48 46124220416 921072 307024
04:09:50 47043313664 897552 448776
04:09:53 47898943488 835576 278525
04:09:55 48872030208 950280 475140
04:09:58 49789632512 896096 298698
04:10:00 50918850560 1102752 551376
04:10:03 52261027840 1310720 436906
04:10:06 53770977280 1474560 491520
04:10:08 54962159616 1163264 581632
04:10:11 56123039744 1133672 377890
04:10:14 57563881472 1407072 469024
04:10:17 58703478784 1112888 370962
04:10:19 59475230720 753664 376832
04:10:22 60088664064 599056 199685
04:10:24 60658892800 556864 278432
04:10:27 61287170048 613552 204517
04:10:29 62377689088 1064960 532480
04:10:32 63535308800 1130488 376829
04:10:34 64788545536 1223864 611932
04:10:37 66001567744 1184592 394864
04:10:40 67014492160 989184 329728
04:10:42 68065157120 1026040 513020
04:10:45 69317140480 1222640 407546
04:10:47 70497861632 1153048 576524
04:10:50 71795777536 1267496 422498
04:10:52 72896995328 1075408 537704
04:10:55 74115006464 1189464 396488
04:10:58 75195473920 1055144 351714
04:11:00 76252446720 1032200 516100
04:11:03 77477183488 1196032 398677
04:11:06 78316044288 819200 273066
04:11:08 78997962752 665936 332968
04:11:11 79591022592 579160 193053
04:11:13 80178315264 573528 286764
