Linux 6.12.88-119.157.amzn2023.x86_64 (ip-192-168-58-166.ec2.internal) 	06/04/26 	_x86_64_	(128 CPU)

02:08:18      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:08:19        0     10713    0.96    0.96    0.00    0.00    1.92    70  containerd
02:08:19        0     10779    0.00    2.88    0.00    0.00    2.88   101  kubelet
02:08:19        0     13727    0.00    0.96    0.00    0.00    0.96    63  containerd-shim
02:08:19        0     13730    0.00    0.96    0.00    0.00    0.96    14  containerd-shim
02:08:19    10001     28603    0.00    0.96    0.00    0.00    0.96   108  manager
02:08:19        0     33538    0.96    0.00    0.00    0.00    0.96     5  containerd-shim
02:08:19       26    255567    0.00    0.96    0.00    0.00    0.96    53  manager
02:08:19       26    255648    0.00    0.96    0.00    0.00    0.96    30  postgres
02:08:19        0    265933    1.92    1.92    0.00    0.00    3.85    46  pidstat
02:08:19       26    265988    1.92    0.00    0.00    0.00    1.92    53  barman-cloud-ba

02:08:19      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:08:20        0       465    0.00    1.00    0.00    0.00    1.00    88  ksoftirqd/88
02:08:20        0     10779    1.00    0.00    0.00    0.00    1.00   101  kubelet
02:08:20    65532     13836    1.00    0.00    0.00    0.00    1.00   124  coredns
02:08:20    65532     13844    2.00    1.00    0.00    0.00    3.00    14  coredns
02:08:20    10001     28603    1.00    0.00    0.00    0.00    1.00   108  manager
02:08:20       26    255567    0.00    1.00    0.00    0.00    1.00    53  manager
02:08:20        0    265889    1.00    0.00    0.00    0.00    1.00    89  iostat
02:08:20        0    265933    1.00    5.00    0.00    0.00    6.00   120  pidstat
02:08:20       26    265988   68.00   26.00    0.00    0.00   94.00    53  barman-cloud-ba
02:08:20       26    266002    0.00    1.00    0.00    0.00    1.00    62  postgres
02:08:20       26    266027   19.00   20.00    0.00    0.00   39.00    55  barman-cloud-ba
02:08:20       26    266041    2.00   23.00    0.00    0.00   25.00   110  barman-cloud-ba
02:08:20       26    266042    3.00   23.00    0.00    0.00   26.00    25  barman-cloud-ba
02:08:20       26    266044    1.00   25.00    0.00    0.00   26.00    95  barman-cloud-ba
02:08:20       26    266048    3.00   22.00    0.00    0.00   25.00   114  barman-cloud-ba
02:08:20       26    266052    4.00   21.00    0.00    0.00   25.00    90  barman-cloud-ba
02:08:20       26    266056    6.00   20.00    0.00    0.00   26.00    67  barman-cloud-ba
02:08:20       26    266060    3.00   22.00    0.00    0.00   25.00   121  barman-cloud-ba
02:08:20       26    266065    3.00   20.00    0.00    0.00   23.00   122  barman-cloud-ba
02:08:20       26    266069    3.00   22.00    0.00    0.00   25.00   124  barman-cloud-ba
02:08:20       26    266074    4.00   22.00    0.00    0.00   26.00   125  barman-cloud-ba
02:08:20       26    266078    5.00   19.00    0.00    0.00   24.00   102  barman-cloud-ba
02:08:20       26    266082    6.00   20.00    0.00    0.00   26.00     4  barman-cloud-ba
02:08:20       26    266087    1.00   23.00    0.00    0.00   24.00     7  barman-cloud-ba
02:08:20       26    266091    2.00   22.00    0.00    0.00   24.00   103  barman-cloud-ba
02:08:20       26    266097    4.00   20.00    0.00    0.00   24.00    14  barman-cloud-ba
