procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 114929276 3172 142294372 0   0  2106 64134 5379    0  0  0 100 0  0  0
 0  0      0 114901104 3172 142297308 0   0     0  2196 4078 5186  0  0 100 0  0  0
34  0      0 114451292 3172 142258300 0   0     0 16422 7400 20406 1  1 97  0  0  0
 2  0      0 113786312 3172 142357620 0   0     0     0 14369 9335 2  2 96  0  0  0
 2  0      0 113808020 3172 142313820 0   0     0     8 13984 7315 1  0 99  0  0  0
 1  0      0 113756668 3172 142328796 0   0     0     0 18548 12572 1 0 99  0  0  0
 2  0      0 113773300 3172 142346368 0   0     0    16 15817 5449 1  0 99  0  0  0
 2  0      0 113764372 3172 142362932 0   0     0     0 12519 4427 1  0 99  0  0  0
 2  0      0 113781556 3172 142357904 0   0     0    16 15517 4132 1  0 99  0  0  0
 1  0      0 113831464 3172 142309364 0   0     0     0 13995 6586 1  0 99  0  0  0
 1  0      0 113719772 3172 142296372 0   0     0     0 7688 5392  1  0 99  0  0  0
 2  0      0 113671592 3172 142322076 0   0     0     0 9777 3503  1  0 99  0  0  0
 2  0      0 113629704 3172 142324004 0   0     0     0 9502 3640  1  0 99  0  0  0
 1  0      0 113583316 3172 142327748 0   0     0     0 8149 3499  1  0 99  0  0  0
 2  0      0 113547604 3172 142310760 0   0     0     0 9837 5482  1  0 99  0  0  0
 1  0      0 113488172 3172 142288584 0   0     0     0 12289 9483 1  0 99  0  0  0
 1  0      0 113456588 3172 142310660 0   0     0     0 7333 4557  1  0 99  0  0  0
 1  0      0 113450188 3172 142310268 0   0     0     0 9948 3419  1  0 99  0  0  0
 1  0      0 113446700 3172 142291780 0   0     0     0 9634 3157  1  0 99  0  0  0
 1  0      0 113411084 3172 142294884 0   0     0     0 7789 3526  1  0 99  0  0  0
 1  0      0 113347704 3172 142296836 0   0     0     0 8352 4170  1  0 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 113360964 3172 142298888 0   0     0     0 8743 3646  1  0 99  0  0  0
 2  0      0 113332960 3172 142321092 0   0     0     0 8872 3210  1  0 99  0  0  0
 2  0      0 113345696 3172 142332364 0   0     0     0 10262 4650 1  0 99  0  0  0
 2  0      0 113336624 3172 142298568 0   0     0     0 8661 8517  1  0 99  0  0  0
 2  0      0 113306128 3172 142317676 0   0     0     0 11784 11688 1 0 99  0  0  0
 1  0      0 113288224 3172 142298808 0   0     0    16 8915 4676  1  0 99  0  0  0
 2  0      0 113325428 3172 142301312 0   0     0    76 9231 4321  1  0 99  0  0  0
 2  0      0 113312948 3172 142302540 0   0     0  1720 8574 3629  1  0 99  0  0  0
 1  0      0 113298324 3172 142324456 0   0     0     4 7414 3321  1  0 99  0  0  0
 1  0      0 113303776 3172 142303704 0   0     0     0 10489 3843 1  0 99  0  0  0
 1  0      0 113267328 3172 142324036 0   0     0   232 9120 3778  1  0 99  0  0  0
 2  0      0 113284432 3172 142301284 0   0     0 20996 9740 3422  1  0 99  0  0  0
 1  0      0 113268584 3172 142299760 0   0     0     0 9480 4127  1  0 99  0  0  0
 1  0      0 113246132 3172 142320448 0   0     0     0 8486 5767  1  0 99  0  0  0
 2  0      0 113196284 3172 142323416 0   0     0     0 13306 9254 1  0 99  0  0  0
 1  0      0 113209384 3172 142325104 0   0     0     0 11589 4535 1  0 99  0  0  0
 1  0      0 113245780 3172 142304904 0   0     0     0 9954 4386  1  0 99  0  0  0
 1  0      0 113271992 3172 142305424 0   0     0     0 9604 3235  1  0 99  0  0  0
 2  0      0 113287272 3172 142325576 0   0     0     0 8448 5733  1  0 99  0  0  0
 2  0      0 113275480 3172 142302844 0   0     0     0 10410 5660 1  0 99  0  0  0
 2  0      0 113333300 3172 142321872 0   0     0     0 9539 3143  1  0 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 113317464 3172 142323864 0   0     0     0 8832 3065  1  0 99  0  0  0
 1  0      0 113317640 3172 142305024 0   0     0    12 9872 4266  1  0 99  0  0  0
 2  0      0 113333860 3172 142307156 0   0     0     0 8502 6038  1  0 99  0  0  0
 1  0      0 113286188 3172 142287612 0   0     0     0 11432 8919 1  0 99  0  0  0
 1  0      0 113245252 3172 142308592 0   0     0     0 8145 4860  1  0 99  0  0  0
 1  0      0 113273832 3172 142307640 0   0     0     0 11880 3428 1  0 99  0  0  0
 1  0      0 113266984 3172 142326716 0   0     0     0 9287 3564  1  0 99  0  0  0
 1  0      0 113254544 3172 142303704 0   0     0     0 9130 3433  1  0 99  0  0  0
 1  0      0 113233236 3172 142303208 0   0     0     0 8351 3683  1  0 99  0  0  0
 1  0      0 113219860 3172 142305976 0   0     0     0 10604 3649 1  0 99  0  0  0
 1  0      0 113164036 3172 142329092 0   0     0     0 8430 3265  1  0 99  0  0  0
 1  0      0 113177388 3172 142329636 0   0     0     0 8555 4516  1  0 99  0  0  0
 1  0      0 113156692 3172 142309180 0   0     0     4 9832 8551  1  0 99  0  0  0
 1  0      0 113163948 3172 142308564 0   0     0     0 11354 10322 1 0 99  0  0  0
 1  0      0 113254192 3172 142327808 0   0     0     0 10382 4636 1  0 99  0  0  0
 1  0      0 113206664 3172 142305276 0   0     0   127 7513 3350  1  0 99  0  0  0
 1  0      0 113223024 3172 142302536 0   0     0     0 8877 3331  1  0 99  0  0  0
 1  0      0 113200652 3172 142303896 0   0     0     0 10026 3540 1  0 99  0  0  0
 1  0      0 113169792 3172 142304716 0   0     0     0 8328 3569  1  0 99  0  0  0
 1  0      0 113135872 3172 142325760 0   0     0    52 8763 3320  1  0 99  0  0  0
 1  0      0 113087032 3172 142304048 0   0     0     0 8507 3588  1  0 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 113103056 3172 142324016 0   0     0     0 9402 4324  1  0 99  0  0  0
 2  0      0 113094396 3172 142302108 0   0     0    44 10122 5965 1  0 99  0  0  0
 2  0      0 113184516 3172 142300128 0   0     0     0 9191 8156  1  0 99  0  0  0
 1  0      0 113216732 3172 142298296 0   0     0    24 8560 4061  1  0 99  0  0  0
 2  0      0 113191256 3172 142300092 0   0     0     0 8932 3747  1  0 99  0  0  0
 1  0      0 113114184 3172 142321580 0   0     0     0 8801 2959  1  0 99  0  0  0
 1  0      0 113120440 3172 142301244 0   0     0     0 11328 5653 1  0 99  0  0  0
 1  0      0 113195760 3172 142321896 0   0     0     0 12132 5615 1  0 99  0  0  0
 1  0      0 113218732 3172 142301072 0   0     0     0 11656 3174 1  0 99  0  0  0
 3  0      0 113218172 3172 142300324 0   0     0     0 8482 3159  1  0 99  0  0  0
 1  0      0 113212452 3172 142298844 0   0     0     0 8656 3575  1  0 99  0  0  0
 1  0      0 113267488 3172 142296528 0   0     0     0 9353 5615  1  0 99  0  0  0
 2  0      0 113254264 3172 142296784 0   0     0    12 13923 9590 1  0 99  0  0  0
 1  0      0 113233820 3172 142318392 0   0     0     0 9653 3900  1  0 99  0  0  0
 1  0      0 113284288 3172 142297984 0   0     0     0 9534 3638  1  0 99  0  0  0
 2  0      0 113235116 3172 142298576 0   0     0     0 11468 3323 1  0 99  0  0  0
 2  0      0 113236772 3172 142296724 0   0     0     0 10134 3174 1  0 99  0  0  0
 2  0      0 113192396 3172 142316612 0   0     0     0 8830 3821  1  0 99  0  0  0
 2  0      0 113190480 3172 142315356 0   0     0     0 11396 3215 1  0 99  0  0  0
 2  0      0 113272048 3172 142292656 0   0     0     0 7554 2886  1  0 99  0  0  0
 2  0      0 113292432 3172 142290464 0   0     0     0 10905 4520 1  0 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 113226820 3172 142291712 0   0     0    20 11102 8469 1  0 99  0  0  0
 3  0      0 113194388 3172 142291988 0   0     0     0 10263 10400 1 0 99  0  0  0
 2  0      0 113184312 3172 142291308 0   0     0     0 11690 4893 1  0 99  0  0  0
 3  0      0 113187512 3172 142332308 0   0     0     1 7882 3546  1  0 99  0  0  0
 2  0      0 113153292 3172 142310512 0   0     0     0 9636 3580  1  0 99  0  0  0
 3  0      0 113127940 3172 142330272 0   0     0     0 7260 3089  1  0 99  0  0  0
 2  0      0 113102048 3172 142307444 0   0     0     0 7943 3486  1  0 99  0  0  0
 3  0      0 113416516 3172 142322968 0   0     0   172 13594 4194 1  0 99  0  0  0
 2  0      0 113594540 3172 142337240 0   0     0     0 15041 4297 1  0 99  0  0  0
 3  0      0 113810352 3172 142354448 0   0     0     0 12179 4452 1  0 99  0  0  0
 4  0      0 113843428 3172 142328688 0   0     0    16 16099 8193 1  0 99  0  0  0
 4  0      0 113808188 3172 142359968 0   0     0     0 15455 7970 1  0 99  0  0  0
 2  0      0 113809048 3172 142370296 0   0     0  1812 15423 5478 1  0 99  0  0  0
 3  0      0 113837892 3172 142338632 0   0     0    16 13526 3947 1  0 99  0  0  0
 3  0      0 113859700 3172 142326372 0   0     0     0 15883 3807 1  0 99  0  0  0
 3  0      0 113849120 3172 142335052 0   0     0     4 15658 6098 1  0 99  0  0  0
 3  0      0 113840404 3172 142344076 0   0     0    16 14944 6071 1  0 99  0  0  0
 3  0      0 113851812 3172 142337996 0   0     0     0 16341 3787 1  0 99  0  0  0
 2  0      0 113855940 3172 142331160 0   0     0     0 12259 4282 1  0 99  0  0  0
 4  0      0 113872868 3172 142324184 0   0     0    16 13280 4747 1  0 99  0  0  0
 2  0      0 113811168 3172 142359284 0   0     0     0 14342 7436 1  0 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 113845856 3172 142331668 0   0     0    16 15035 8317 1  0 99  0  0  0
 2  0      0 113863048 3172 142318808 0   0     0     0 12109 5219 1  0 99  0  0  0
 3  0      0 113878484 3172 142310176 0   0     0     0 14642 4460 1  0 99  0  0  0
 3  0      0 113856128 3172 142343284 0   0     0    32 13322 4131 1  0 99  0  0  0
 3  0      0 113862628 3172 142335836 0   0     0     0 15081 3897 1  0 99  0  0  0
 2  0      0 113868432 3172 142329088 0   0     0    16 14417 4573 1  0 99  0  0  0
 3  0      0 113863652 3172 142341172 0   0     0     0 14156 4088 1  0 99  0  0  0
 2  0      0 113887476 3172 142255584 0   0     0 16384 8599 8079  1  0 99  0  0  0
 4  0      0 113975224 3172 142239112 0   0     0    12 5236 24550 0  0 100 0  0  0
 3  0      0 114741348 3172 142237916 0   0     0     0 5637 11464 0  0 100 0  0  0
 1  0      0 114744864 3172 142216680 0   0     0     0 5640 10092 1  0 99  0  0  0
 1  0      0 114777900 3172 142216684 0   0     0     8 3663 5311  0  0 100 0  0  0
 1  0      0 114791604 3172 142216684 0   0     0    89 2194 2488  0  0 100 0  0  0
 1  0      0 114807144 3172 142216684 0   0     0     0 2084 2256  0  0 100 0  0  0
 1  0      0 114820992 3172 142216684 0   0     0     0 2148 2314  0  0 100 0  0  0
 1  0      0 114828364 3172 142216684 0   0     0     0 1873 2267  0  0 100 0  0  0
