Linux 6.12.88-119.157.amzn2023.x86_64 (ip-192-168-58-166.ec2.internal) 	06/04/26 	_x86_64_	(128 CPU)

01:57:41        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
01:57:42           lo    176.00    176.00     12.34     12.34      0.00      0.00      0.00      0.00
01:57:42         ens5     44.00     53.00      7.55     10.57      0.00      0.00      0.00      0.00
01:57:42    eni9c774036886      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:57:42    eni5fd491a8520      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:57:42         ens6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:57:42    eni46def74d622      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:57:42    eni863f1470662      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:57:42    eni637ff84c0bb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:57:42    enic667095f2f6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:57:42    eni7a106f4e85a      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:57:42    eni6d04481d948      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:57:42    eni95c2a9260c8      1.00      1.00      0.06      0.16      0.00      0.00      0.00      0.00
01:57:42    enic47e233eae6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:57:42    eni0afda04f433      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:57:42    enidbf23aa60a5      4.00      3.00      0.75      0.73      0.00      0.00      0.00      0.00
01:57:42    eni18e702d09ed      4.00      3.00      0.78      0.76      0.00      0.00      0.00      0.00
01:57:42    eni57210d8fe98      1.00      1.00      0.06      0.22      0.00      0.00      0.00      0.00

01:57:42        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
01:57:43           lo    170.00    170.00     11.89     11.89      0.00      0.00      0.00      0.00
01:57:43         ens5    218.00    203.00    109.79     43.10      0.00      0.00      0.00      0.00
01:57:43    eni9c774036886      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:57:43    eni5fd491a8520      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:57:43         ens6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:57:43    eni46def74d622      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:57:43    eni863f1470662      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
