Linux 6.12.88-119.157.amzn2023.x86_64 (ip-192-168-58-166.ec2.internal) 	06/04/26 	_x86_64_	(128 CPU)

03:36:10        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
03:36:11           lo    197.00    197.00     13.05     13.05      0.00      0.00      0.00      0.00
03:36:11         ens5    143.00    153.00     45.88     30.49      0.00      0.00      0.00      0.00
03:36:11    eni9c774036886      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:36:11    eni5fd491a8520      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:36:11         ens6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:36:11    eni46def74d622      6.00      9.00      1.56      0.87      0.00      0.00      0.00      0.00
03:36:11    eni863f1470662      4.00      5.00      1.08      0.44      0.00      0.00      0.00      0.00
03:36:11    eni637ff84c0bb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:36:11    enic667095f2f6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:36:11    eni7a106f4e85a     84.00     66.00     26.52     28.48      0.00      0.00      0.00      0.00
03:36:11    eni6d04481d948      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:36:11    eni95c2a9260c8      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:36:11    enic47e233eae6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:36:11    eni0afda04f433      3.00      3.00      0.69      0.73      0.00      0.00      0.00      0.00
03:36:11    enidbf23aa60a5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:36:11    eni18e702d09ed     11.00     13.00      1.53     10.61      0.00      0.00      0.00      0.00
03:36:11    eni57210d8fe98     21.00     25.00      6.95     12.89      0.00      0.00      0.00      0.00

03:36:11        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
03:36:12           lo    192.00    192.00     14.36     14.36      0.00      0.00      0.00      0.00
03:36:12         ens5   1005.00   1601.00    174.98  10573.78      0.00      0.00      0.00      0.00
03:36:12    eni9c774036886     31.00     31.00      7.50      3.83      0.00      0.00      0.00      0.00
03:36:12    eni5fd491a8520     28.00     28.00      5.70      3.62      0.00      0.00      0.00      0.00
03:36:12         ens6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:36:12    eni46def74d622      0.00      1.00      0.00      0.06      0.00      0.00      0.00      0.00
03:36:12    eni863f1470662      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:36:12    eni637ff84c0bb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:36:12    enic667095f2f6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:36:12    eni7a106f4e85a     67.00     63.00     75.82     35.29      0.00      0.00      0.00      0.01
03:36:12    eni6d04481d948      4.00      3.00      0.91      0.90      0.00      0.00      0.00      0.00
03:36:12    eni95c2a9260c8      1.00      1.00      0.06      0.22      0.00      0.00      0.00      0.00
03:36:12    enic47e233eae6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:36:12    eni0afda04f433      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
