procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 119206168 2948 138008772 0   0  1933 66429 5673    0  0  0 100 0  0  0
 0  0      0 119181964 2948 138011220 0   0     0     0 4647 6710  0  0 100 0  0  0
 0  0      0 119097484 2948 138027620 0   0     0 16415 7492 11477 0  0 99  0  0  0
 1  0      0 119108876 2948 138027620 0   0     0     0 4341 2998  0  0 100 0  0  0
 0  0      0 119121396 2948 138027620 0   0     0     0 7151 10961 1  0 99  0  0  0
 0  0      0 119122928 2948 138027620 0   0     0     0 5649 4280  0  0 100 0  0  0
 0  0      0 119127816 2948 138027620 0   0     0     0 4466 2810  0  0 100 0  0  0
 1  0      0 119127324 2948 138027620 0   0     0     4 5301 4094  0  0 100 0  0  0
 0  0      0 119131468 2948 138027620 0   0     0     0 4553 2425  0  0 100 0  0  0
 0  0      0 119134744 2948 138027620 0   0     0     0 4375 3732  0  0 100 0  0  0
 0  0      0 119136840 2948 138027620 0   0     0     0 4195 2496  0  0 100 0  0  0
 1  0      0 119144672 2948 138027620 0   0     0    91 4599 2844  0  0 100 0  0  0
 1  0      0 119148028 2948 138027620 0   0     0     0 4120 2536  0  0 100 0  0  0
 0  0      0 119145796 2948 138027620 0   0     0     8 3722 2131  0  0 100 0  0  0
 0  0      0 119139424 2948 138027624 0   0     0     0 5983 5630  0  0 100 0  0  0
 0  0      0 119138868 2948 138027656 0   0     0     0 5191 4508  0  0 100 0  0  0
 1  0      0 119138964 2948 138027656 0   0     0  2168 5716 3731  0  0 100 0  0  0
 0  0      0 119134064 2948 138027656 0   0     0     0 5681 3269  0  0 100 0  0  0
 1  0      0 119135992 2948 138027656 0   0     0     4 5638 2540  0  0 100 0  0  0
 0  0      0 119139704 2948 138027656 0   0     0     0 6116 8343  0  0 100 0  0  0
 1  0      0 119144652 2948 138027656 0   0     0     0 4837 2531  0  0 100 0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 119144968 2948 138027656 0   0     0     0 5493 2188  0  0 100 0  0  0
 0  0      0 119140172 2948 138027656 0   0     0     0 4614 2516  0  0 100 0  0  0
 0  0      0 119140204 2948 138027656 0   0     0     0 5697 3128  0  0 100 0  0  0
 0  0      0 119141856 2948 138027656 0   0     0     0 5872 5575  0  0 100 0  0  0
 0  0      0 119137588 2948 138027688 0   0     0     0 6137 4347  0  0 100 0  0  0
 0  0      0 119136172 2948 138027688 0   0     0     0 4360 2745  0  0 100 0  0  0
 0  0      0 119143580 2948 138027688 0   0     0     0 7068 4638  0  0 100 0  0  0
 0  0      0 119145564 2948 138027724 0   0     0     0 4806 2701  0  0 100 0  0  0
 0  0      0 119148472 2948 138027724 0   0     0     0 5131 4865  0  0 100 0  0  0
 0  0      0 119146828 2948 138027724 0   0     0    44 5456 2750  0  0 100 0  0  0
 0  0      0 119152312 2948 138027724 0   0     0     4 4754 2568  0  0 100 0  0  0
 0  0      0 119151868 2948 138027724 0   0     0    20 5333 3049  0  0 100 0  0  0
 0  0      0 119153432 2948 138027724 0   0     0     4 6076 2610  0  0 100 0  0  0
 0  0      0 119146292 2948 138027724 0   0     0    12 9486 10833 0  0 100 0  0  0
 1  0      0 119146940 2948 138027740 0   0     0     0 7846 4723  0  0 100 0  0  0
 0  0      0 119149904 2948 138027740 0   0     0     0 6357 2509  0  0 100 0  0  0
 0  0      0 119136328 2948 138027740 0   0     0    12 6784 3519  0  0 100 0  0  0
 0  0      0 119141976 2948 138027740 0   0     0     0 6492 2646  0  0 100 0  0  0
 1  0      0 119138720 2948 138027740 0   0     0     0 4868 4237  0  0 100 0  0  0
 0  0      0 119140016 2948 138027740 0   0     0     0 4226 2458  0  0 100 0  0  0
 0  0      0 119149024 2948 138027740 0   0     0   111 6437 3083  0  0 100 0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
