Linux 6.12.88-119.157.amzn2023.x86_64 (ip-192-168-58-166.ec2.internal) 	06/04/26 	_x86_64_	(128 CPU)

02:42:06        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
02:42:07           lo     68.00     68.00      5.91      5.91      0.00      0.00      0.00      0.00
02:42:07         ens5     14.00     16.00      1.96      3.88      0.00      0.00      0.00      0.00
02:42:07    eni9c774036886      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:07    eni5fd491a8520      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:07         ens6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:07    eni46def74d622      2.00      3.00      0.17      2.69      0.00      0.00      0.00      0.00
02:42:07    eni863f1470662      2.00      3.00      0.17      2.70      0.00      0.00      0.00      0.00
02:42:07    eni637ff84c0bb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:07    enic667095f2f6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:07    eni7a106f4e85a      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:07    eni6d04481d948      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:07    eni95c2a9260c8      5.00      6.00      0.50      0.50      0.00      0.00      0.00      0.00
02:42:07    enic47e233eae6      5.00      6.00      0.42      0.50      0.00      0.00      0.00      0.00
02:42:07    eni0afda04f433      4.00      3.00      0.75      0.74      0.00      0.00      0.00      0.00
02:42:07    enidbf23aa60a5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:07    eni18e702d09ed      3.00      4.00      0.72      0.83      0.00      0.00      0.00      0.00
02:42:07    eni57210d8fe98      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

02:42:07        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
02:42:08           lo    250.00    250.00     17.65     17.65      0.00      0.00      0.00      0.00
02:42:08         ens5    327.00    308.00    161.08     64.88      0.00      0.00      0.00      0.00
02:42:08    eni9c774036886     31.00     31.00      6.16      3.69      0.00      0.00      0.00      0.00
02:42:08    eni5fd491a8520     27.00     28.00      5.39      3.41      0.00      0.00      0.00      0.00
02:42:08         ens6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:08    eni46def74d622     10.00     13.00      4.35      2.61      0.00      0.00      0.00      0.00
02:42:08    eni863f1470662     10.00     13.00      4.35      2.60      0.00      0.00      0.00      0.00
02:42:08    eni637ff84c0bb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:08    enic667095f2f6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:08    eni7a106f4e85a    150.00    128.00    102.40     63.47      0.00      0.00      0.00      0.01
02:42:08    eni6d04481d948      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:08    eni95c2a9260c8      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:08    enic47e233eae6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:08    eni0afda04f433      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:08    enidbf23aa60a5     39.00     40.00      5.49     73.82      0.00      0.00      0.00      0.01
02:42:08    eni18e702d09ed      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:08    eni57210d8fe98    173.00    174.00     36.92    114.24      0.00      0.00      0.00      0.01

02:42:08        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
02:42:09           lo    169.00    169.00     13.08     13.08      0.00      0.00      0.00      0.00
02:42:09         ens5   6762.00  28260.00    380.42  49129.94      0.00      0.00      0.00      0.00
02:42:09    eni9c774036886     46.00     46.00     11.42      5.08      0.00      0.00      0.00      0.00
02:42:09    eni5fd491a8520     54.00     54.00     13.08      5.98      0.00      0.00      0.00      0.00
02:42:09         ens6      1.00      1.00      0.17      0.06      0.00      0.00      0.00      0.00
02:42:09    eni46def74d622      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:09    eni863f1470662      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:09    eni637ff84c0bb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:09    enic667095f2f6      1.00      1.00      0.06      0.18      0.00      0.00      0.00      0.00
02:42:09    eni7a106f4e85a      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:09    eni6d04481d948      1.00      1.00      0.06      0.21      0.00      0.00      0.00      0.00
02:42:09    eni95c2a9260c8      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:09    enic47e233eae6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:09    eni0afda04f433      5.00      4.00      0.82      0.83      0.00      0.00      0.00      0.00
02:42:09    enidbf23aa60a5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:09    eni18e702d09ed      5.00      7.00      0.85      1.03      0.00      0.00      0.00      0.00
02:42:09    eni57210d8fe98   2241.00   6830.00  47743.59    464.87      0.00      0.00      0.00      3.91

02:42:09        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
02:42:10           lo    162.00    162.00     13.14     13.14      0.00      0.00      0.00      0.00
02:42:10         ens5  17813.00 157298.00    857.01 280347.88      0.00      0.00      0.00      0.00
02:42:10    eni9c774036886      4.00      6.00      0.40      0.50      0.00      0.00      0.00      0.00
02:42:10    eni5fd491a8520      5.00      5.00      0.46      0.44      0.00      0.00      0.00      0.00
02:42:10         ens6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:10    eni46def74d622      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:10    eni863f1470662      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
