Linux 6.12.88-119.157.amzn2023.x86_64 (ip-192-168-58-166.ec2.internal) 	06/04/26 	_x86_64_	(128 CPU)

02:11:37        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
02:11:38           lo    150.00    150.00     10.92     10.92      0.00      0.00      0.00      0.00
02:11:38         ens5     22.00     33.00      2.55      6.49      0.00      0.00      0.00      0.00
02:11:38    eni9c774036886      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:11:38    eni5fd491a8520      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:11:38         ens6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:11:38    eni46def74d622      2.00      3.00      0.17      2.77      0.00      0.00      0.00      0.00
02:11:38    eni863f1470662      2.00      3.00      0.17      2.77      0.00      0.00      0.00      0.00
02:11:38    eni637ff84c0bb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:11:38    enic667095f2f6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:11:38    eni7a106f4e85a      6.00      5.00      0.89      1.12      0.00      0.00      0.00      0.00
02:11:38    eni6d04481d948      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:11:38    eni95c2a9260c8      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:11:38    enic47e233eae6      5.00      6.00      0.42      0.50      0.00      0.00      0.00      0.00
02:11:38    eni0afda04f433      3.00      3.00      0.69      0.74      0.00      0.00      0.00      0.00
02:11:38    enidbf23aa60a5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:11:38    eni18e702d09ed      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:11:38    eni57210d8fe98      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:11:38    eni96207bafa9d      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

02:11:38        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
02:11:39           lo    159.00    159.00     12.04     12.04      0.00      0.00      0.00      0.00
02:11:39         ens5     21.00     39.00      2.61      8.63      0.00      0.00      0.00      0.00
02:11:39    eni9c774036886      5.00      6.00      0.46      0.50      0.00      0.00      0.00      0.00
02:11:39    eni5fd491a8520      5.00      6.00      0.46      0.50      0.00      0.00      0.00      0.00
02:11:39         ens6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:11:39    eni46def74d622     10.00     13.00      4.35      2.61      0.00      0.00      0.00      0.00
02:11:39    eni863f1470662     10.00     12.00      4.35      2.54      0.00      0.00      0.00      0.00
02:11:39    eni637ff84c0bb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:11:39    enic667095f2f6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:11:39    eni7a106f4e85a      1.00      1.00      0.06      0.16      0.00      0.00      0.00      0.00
02:11:39    eni6d04481d948      1.00      1.00      0.06      0.21      0.00      0.00      0.00      0.00
02:11:39    eni95c2a9260c8      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:11:39    enic47e233eae6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:11:39    eni0afda04f433      0.00      1.00      0.00      0.22      0.00      0.00      0.00      0.00
02:11:39    enidbf23aa60a5      4.00      3.00      0.75      0.73      0.00      0.00      0.00      0.00
02:11:39    eni18e702d09ed      7.00      8.00      0.98      1.13      0.00      0.00      0.00      0.00
02:11:39    eni57210d8fe98      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:11:39    eni96207bafa9d      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

02:11:39        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
02:11:40           lo    216.00    216.00     16.59     16.59      0.00      0.00      0.00      0.00
02:11:40         ens5     90.00     96.00     31.54     30.25      0.00      0.00      0.00      0.00
02:11:40    eni9c774036886      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:11:40    eni5fd491a8520      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
