procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 114993372 3172 142129472 0   0  1878 57278 5617    0  0  0 100 0  0  0
 0  0      0 114965092 3172 142132336 0   0     0     0 6876 13752 0  0 100 0  0  0
 0  0      0 114971424 3172 142132336 0   0     0     0 2971 4799  0  0 100 0  0  0
 0  0      0 114951764 3172 142132348 0   0     0   244 5804 9997  0  0 100 0  0  0
 0  0      0 114956416 3172 142132352 0   0     0     0 1992 2103  0  0 100 0  0  0
 0  0      0 114965704 3172 142132336 0   0     0    65 2441 2695  0  0 100 0  0  0
 0  0      0 114972352 3172 142132336 0   0     0     0 1905 2039  0  0 100 0  0  0
 0  0      0 114981944 3172 142132336 0   0     0     0 2655 3304  0  0 100 0  0  0
 1  0      0 114890620 3172 142135684 0   0     0   344 8480 13685 0  0 99  0  0  0
 1  0      0 114859692 3172 142135680 0   0     0  3344 3818 5361  0  0 99  0  0  0
 0  0      0 114615184 3172 142353808 0   0     0     0 4780 3419  0  0 99  0  0  0
 1  0      0 114260712 3172 142718500 0   0     0     0 8760 6369  1  0 99  0  0  0
 2  0      0 113885992 3172 143091936 0   0     0     0 6369 4592  1  0 99  0  0  0
 0  0      0 113598544 3172 143352976 0   0     0     4 8573 7230  1  0 99  0  0  0
 0  0      0 113411868 3172 143541648 0   0     0     0 9542 3076  0  0 100 0  0  0
 0  0      0 113290060 3172 143670576 0   0     0 130248 8298 5676 0  0 100 0  0  0
 0  0      0 113163540 3172 143802280 0   0     0     0 5969 6062  0  0 100 0  0  0
 0  0      0 113032436 3172 143940616 0   0     0     0 8290 3145  0  0 100 0  0  0
 1  0      0 112874512 3172 144103048 0   0     0     0 7450 2221  0  0 100 0  0  0
 1  0      0 112763180 3172 144225480 0   0     0     0 6985 3722  0  0 100 0  0  0
 0  0      0 112580980 3172 144405768 0   0     0 106496 9027 5167 0  0 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 112406156 3172 144587432 0   0     0     0 9706 6337  0  0 100 0  0  0
 0  0      0 112273124 3172 144726860 0   0     0     0 7395 4435  0  0 100 0  0  0
 0  0      0 112154888 3172 144855148 0   0     0     0 7101 6749  0  0 100 0  0  0
 0  0      0 112014432 3172 144998544 0   0     0     0 7240 2461  0  0 100 0  0  0
 1  0      0 111853480 3172 145165360 0   0     0     0 8042 3510  0  0 100 0  0  0
 1  0      0 111733908 3172 145294000 0   0     0     0 7765 2221  0  0 100 0  0  0
 1  0      0 111537844 3172 145498544 0   0     0     0 9340 3589  0  0 100 0  0  0
 1  0      0 111412892 3172 145625872 0   0     0  6184 6241 2913  0  0 100 0  0  0
 0  0      0 111268180 3172 145776948 0   0     0     0 8084 3975  0  0 100 0  0  0
 0  0      0 111137680 3172 145908436 0   0     0     4 7503 3743  0  0 100 0  0  0
 0  0      0 110991908 3172 146051620 0   0     0    44 10225 11973 0 0 100 0  0  0
