Linux 6.12.88-119.157.amzn2023.x86_64 (ip-192-168-58-166.ec2.internal) 	06/04/26 	_x86_64_	(128 CPU)

03:46:20        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
03:46:21           lo    197.00    197.00     13.17     13.17      0.00      0.00      0.00      0.00
03:46:21         ens5     66.00     69.00     13.44     14.21      0.00      0.00      0.00      0.00
03:46:21    eni9c774036886      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:46:21    eni5fd491a8520      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:46:21         ens6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:46:21    eni46def74d622      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:46:21    eni863f1470662      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:46:21    eni637ff84c0bb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:46:21    enic667095f2f6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:46:21    eni7a106f4e85a      3.00      3.00      0.70      0.75      0.00      0.00      0.00      0.00
03:46:21    eni6d04481d948      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:46:21    eni95c2a9260c8      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:46:21    enic47e233eae6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:46:21    eni0afda04f433      4.00      4.00      0.75      0.93      0.00      0.00      0.00      0.00
03:46:21    enidbf23aa60a5      4.00      3.00      0.75      0.73      0.00      0.00      0.00      0.00
03:46:21    eni18e702d09ed      3.00      4.00      0.72      0.85      0.00      0.00      0.00      0.00
03:46:21    eni57210d8fe98      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:46:21    eni3980c701ed5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

03:46:21        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
03:46:22           lo    133.00    133.00     10.59     10.59      0.00      0.00      0.00      0.00
03:46:22         ens5     25.00     31.00      1.31      6.73      0.00      0.00      0.00      0.00
03:46:22    eni9c774036886      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:46:22    eni5fd491a8520      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:46:22         ens6      2.00      2.00      0.20      0.11      0.00      0.00      0.00      0.00
03:46:22    eni46def74d622      3.00      3.00      0.26      2.81      0.00      0.00      0.00      0.00
03:46:22    eni863f1470662      3.00      3.00      0.26      2.81      0.00      0.00      0.00      0.00
03:46:22    eni637ff84c0bb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:46:22    enic667095f2f6      1.00      1.00      0.06      0.18      0.00      0.00      0.00      0.00
03:46:22    eni7a106f4e85a      1.00      1.00      0.06      0.06      0.00      0.00      0.00      0.00
03:46:22    eni6d04481d948      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:46:22    eni95c2a9260c8      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:46:22    enic47e233eae6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:46:22    eni0afda04f433      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:46:22    enidbf23aa60a5      1.00      1.00      0.06      0.06      0.00      0.00      0.00      0.00
03:46:22    eni18e702d09ed      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:46:22    eni57210d8fe98      5.00      3.00      0.32      0.25      0.00      0.00      0.00      0.00
03:46:22    eni3980c701ed5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

03:46:22        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
03:46:23           lo    165.00    165.00     12.68     12.68      0.00      0.00      0.00      0.00
03:46:23         ens5     75.00     79.00     30.88     28.88      0.00      0.00      0.00      0.00
03:46:23    eni9c774036886      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:46:23    eni5fd491a8520      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
