procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 119891680 1600 137209432 0   0  1192 98134 6209    0  0  0 98  1  0  0
 0  0      0 119876160 1600 137209920 0   0     0     0 5147 7712  0  0 100 0  0  0
 0  0      0 119888628 1600 137209920 0   0     0     0 3467 7615  0  0 100 0  0  0
 0  0      0 119891168 1600 137209952 0   0     0     4 2915 4786  0  0 100 0  0  0
 0  0      0 119897432 1600 137209952 0   0     0     0 2321 2585  0  0 100 0  0  0
 1  0      0 119901660 1600 137209952 0   0     0     0 2190 2742  0  0 100 0  0  0
 0  0      0 119906164 1600 137209952 0   0     0   139 2801 3099  0  0 99  0  0  0
 0  0      0 119914000 1600 137209956 0   0   252     0 5416 10253 0  0 100 0  0  0
 0  0      0 119875088 1600 137220836 0   0     0   624 7219 10417 0  0 100 0  0  0
 0  0      0 119833960 1600 137261800 0   0     0     0 4022 5833  0  0 100 0  0  0
 0  0      0 119768232 1600 137329384 0   0     0     0 4585 3691  0  0 100 0  0  0
 0  0      0 119727980 1600 137370344 0   0     0  3504 4092 4298  0  0 100 0  0  0
 0  0      0 119675768 1600 137424616 0   0     0     0 3025 2651  0  0 100 0  0  0
 0  0      0 119635412 1600 137465576 0   0     0    12 3889 6260  0  0 100 0  0  0
 0  0      0 119596140 1600 137506536 0   0     0     0 2976 3090  0  0 100 0  0  0
 0  0      0 119554912 1600 137547496 0   0     0     0 3065 3283  0  0 100 0  0  0
 0  0      0 119502044 1600 137601768 0   0     0     0 3927 3440  0  0 100 0  0  0
 0  0      0 119458868 1600 137642752 0   0     0     0 5546 10949 0  0 100 0  0  0
 0  0      0 119393124 1600 137710344 0   0     0     0 4168 3794  0  0 100 0  0  0
 0  0      0 119352772 1600 137751308 0   0     0     0 4328 5019  0  0 100 0  0  0
 0  0      0 119287756 1600 137818892 0   0     0     0 4626 3640  0  0 100 0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 119228164 1600 137873164 0   0     0   240 5466 7490  0  0 100 0  0  0
 1  0      0 119187160 1600 137915148 0   0   140     0 3154 2980  0  0 100 0  0  0
 0  0      0 119133376 1600 137968520 0   0     0     0 5037 6009  0  0 100 0  0  0
 0  0      0 119080528 1600 138022792 0   0     0     0 3842 3335  0  0 100 0  0  0
 0  0      0 119026216 1600 138078088 0   0     0     0 4105 3943  0  0 100 0  0  0
 0  0      0 118959912 1600 138145672 0   0     0     0 3474 3013  0  0 100 0  0  0
 0  0      0 118908776 1600 138199944 0   0     0     0 4850 5936  0  0 100 0  0  0
 0  0      0 118854732 1600 138254208 0   0     0  2828 5437 4899  0  0 100 0  0  0
 0  0      0 118829796 1600 138282880 0   0     0 1048579 7544 5953 0 0 100 0  0  0
 0  0      0 118816544 1600 138297216 0   0     0     0 2784 2896  0  0 100 0  0  0
 0  0      0 118755180 1600 138351488 0   0     0    20 4907 3472  0  0 100 0  0  0
 0  0      0 118704516 1600 138405760 0   0     0     0 4856 7963  1  0 99  0  0  0
 0  0      0 118623180 1600 138487680 0   0     0     4 5106 5073  0  0 100 0  0  0
 0  0      0 118556492 1600 138555300 0   0     0     4 4209 3166  0  0 100 0  0  0
 0  0      0 118517520 1600 138596260 0   0     0     0 3265 2927  0  0 100 0  0  0
 0  0      0 118464684 1600 138650532 0   0     0  1394 4051 3196  0  0 100 0  0  0
