Linux 6.12.88-119.157.amzn2023.x86_64 (ip-192-168-58-166.ec2.internal) 	06/04/26 	_x86_64_	(128 CPU)

03:09:56        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
03:09:57           lo    145.00    145.00     10.26     10.26      0.00      0.00      0.00      0.00
03:09:57         ens5     37.00     38.00      4.20      7.35      0.00      0.00      0.00      0.00
03:09:57    eni9c774036886      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:09:57    eni5fd491a8520      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:09:57         ens6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:09:57    eni46def74d622      1.00      1.00      0.06      0.06      0.00      0.00      0.00      0.00
03:09:57    eni863f1470662      1.00      1.00      0.06      0.06      0.00      0.00      0.00      0.00
03:09:57    eni637ff84c0bb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:09:57    enic667095f2f6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:09:57    eni7a106f4e85a      3.00      3.00      0.70      0.75      0.00      0.00      0.00      0.00
03:09:57    eni6d04481d948      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:09:57    eni95c2a9260c8      5.00      5.00      0.50      0.44      0.00      0.00      0.00      0.00
03:09:57    enic47e233eae6      4.00      6.00      0.36      0.50      0.00      0.00      0.00      0.00
03:09:57    eni0afda04f433      3.00      3.00      0.69      0.74      0.00      0.00      0.00      0.00
03:09:57    enidbf23aa60a5      3.00      3.00      0.69      0.73      0.00      0.00      0.00      0.00
03:09:57    eni18e702d09ed      4.00      3.00      0.78      0.76      0.00      0.00      0.00      0.00
03:09:57    eni57210d8fe98      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:09:57    eni7a965d1f2f2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

03:09:57        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
03:09:58           lo    133.00    133.00     10.67     10.67      0.00      0.00      0.00      0.00
03:09:58         ens5     26.00     27.00      1.42      6.77      0.00      0.00      0.00      0.00
03:09:58    eni9c774036886      5.00      5.00      0.46      0.44      0.00      0.00      0.00      0.00
03:09:58    eni5fd491a8520      5.00      5.00      0.46      0.44      0.00      0.00      0.00      0.00
03:09:58         ens6      2.00      2.00      0.20      0.16      0.00      0.00      0.00      0.00
03:09:58    eni46def74d622     12.00     14.00      4.50      2.77      0.00      0.00      0.00      0.00
03:09:58    eni863f1470662     10.00     12.00      4.35      2.54      0.00      0.00      0.00      0.00
03:09:58    eni637ff84c0bb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:09:58    enic667095f2f6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:09:58    eni7a106f4e85a      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:09:58    eni6d04481d948      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:09:58    eni95c2a9260c8      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:09:58    enic47e233eae6      2.00      2.00      0.16      0.22      0.00      0.00      0.00      0.00
03:09:58    eni0afda04f433      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:09:58    enidbf23aa60a5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:09:58    eni18e702d09ed      2.00      4.00      0.14      0.27      0.00      0.00      0.00      0.00
03:09:58    eni57210d8fe98      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:09:58    eni7a965d1f2f2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

03:09:58        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
03:09:59           lo    147.00    147.00     11.40     11.40      0.00      0.00      0.00      0.00
03:09:59         ens5     50.00     48.00     13.24     10.41      0.00      0.00      0.00      0.00
03:09:59    eni9c774036886      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:09:59    eni5fd491a8520      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:09:59         ens6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:09:59    eni46def74d622      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:09:59    eni863f1470662      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:09:59    eni637ff84c0bb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:09:59    enic667095f2f6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:09:59    eni7a106f4e85a      4.00      4.00      0.76      0.96      0.00      0.00      0.00      0.00
03:09:59    eni6d04481d948      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:09:59    eni95c2a9260c8      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:09:59    enic47e233eae6      4.00      6.00      0.36      0.50      0.00      0.00      0.00      0.00
03:09:59    eni0afda04f433      3.00      3.00      0.69      0.74      0.00      0.00      0.00      0.00
03:09:59    enidbf23aa60a5      5.00      8.00      0.82      1.10      0.00      0.00      0.00      0.00
03:09:59    eni18e702d09ed      4.00      3.00      0.78      0.88      0.00      0.00      0.00      0.00
03:09:59    eni57210d8fe98     16.00     19.00      3.48     11.01      0.00      0.00      0.00      0.00
03:09:59    eni7a965d1f2f2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

03:09:59        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
03:10:00           lo    123.00    123.00     10.03     10.03      0.00      0.00      0.00      0.00
03:10:00         ens5     77.00     66.00     36.64     25.90      0.00      0.00      0.00      0.00
03:10:00    eni9c774036886      5.00      5.00      0.46      0.44      0.00      0.00      0.00      0.00
03:10:00    eni5fd491a8520      5.00      5.00      0.46      0.44      0.00      0.00      0.00      0.00
03:10:00         ens6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:00    eni46def74d622      1.00      2.00      0.10      0.17      0.00      0.00      0.00      0.00
03:10:00    eni863f1470662      2.00      4.00      0.21      0.33      0.00      0.00      0.00      0.00
03:10:00    eni637ff84c0bb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:00    enic667095f2f6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:00    eni7a106f4e85a     34.00     33.00     34.73     27.09      0.00      0.00      0.00      0.00
03:10:00    eni6d04481d948      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:00    eni95c2a9260c8      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:00    enic47e233eae6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:00    eni0afda04f433      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:00    enidbf23aa60a5      8.00     10.00      0.81     16.58      0.00      0.00      0.00      0.00
03:10:00    eni18e702d09ed      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:00    eni57210d8fe98     16.00     19.00      3.48     10.91      0.00      0.00      0.00      0.00
03:10:00    eni7a965d1f2f2      1.00      0.00      0.07      0.00      0.00      0.00      0.00      0.00

03:10:00        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
03:10:01           lo    210.00    210.00     14.79     14.79      0.00      0.00      0.00      0.00
03:10:01         ens5    156.00    158.00     19.72     25.83      0.00      0.00      0.00      0.00
03:10:01    eni9c774036886      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:01    eni5fd491a8520      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:01         ens6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:01    eni46def74d622      5.00      8.00      1.63      0.96      0.00      0.00      0.00      0.00
03:10:01    eni863f1470662      8.00      7.00      1.37      0.65      0.00      0.00      0.00      0.00
03:10:01    eni637ff84c0bb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:01    enic667095f2f6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:01    eni7a106f4e85a      5.00      4.00      0.83      0.93      0.00      0.00      0.00      0.00
03:10:01    eni6d04481d948      1.00      1.00      0.06      0.29      0.00      0.00      0.00      0.00
03:10:01    eni95c2a9260c8      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:01    enic47e233eae6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:01    eni0afda04f433      3.00      3.00      0.69      0.74      0.00      0.00      0.00      0.00
03:10:01    enidbf23aa60a5      3.00      3.00      0.69      0.73      0.00      0.00      0.00      0.00
03:10:01    eni18e702d09ed      4.00      3.00      0.78      0.77      0.00      0.00      0.00      0.00
03:10:01    eni57210d8fe98      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:01    eni7a965d1f2f2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

03:10:01        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
03:10:02           lo    139.00    139.00     10.80     10.80      0.00      0.00      0.00      0.00
03:10:02         ens5     29.00     30.00      1.92      6.79      0.00      0.00      0.00      0.00
03:10:02    eni9c774036886      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:02    eni5fd491a8520      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:02         ens6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:02    eni46def74d622      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:02    eni863f1470662      2.00      2.00      0.13      0.32      0.00      0.00      0.00      0.00
03:10:02    eni637ff84c0bb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:02    enic667095f2f6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:02    eni7a106f4e85a      1.00      1.00      0.06      0.16      0.00      0.00      0.00      0.00
03:10:02    eni6d04481d948      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:02    eni95c2a9260c8      1.00      1.00      0.06      0.22      0.00      0.00      0.00      0.00
03:10:02    enic47e233eae6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:02    eni0afda04f433      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:02    enidbf23aa60a5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:02    eni18e702d09ed      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:02    eni57210d8fe98      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:02    eni7a965d1f2f2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

03:10:02        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
03:10:03           lo    145.00    145.00     11.03     11.03      0.00      0.00      0.00      0.00
03:10:03         ens5     38.00     41.00      4.27      9.42      0.00      0.00      0.00      0.00
03:10:03    eni9c774036886      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:03    eni5fd491a8520      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:03         ens6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:03    eni46def74d622      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:03    eni863f1470662      1.00      1.00      0.06      0.16      0.00      0.00      0.00      0.00
03:10:03    eni637ff84c0bb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:03    enic667095f2f6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:03    eni7a106f4e85a     20.00     25.00      6.03      5.64      0.00      0.00      0.00      0.00
03:10:03    eni6d04481d948      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:03    eni95c2a9260c8      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:03    enic47e233eae6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:03    eni0afda04f433      3.00      3.00      0.69      0.74      0.00      0.00      0.00      0.00
03:10:03    enidbf23aa60a5      3.00      3.00      0.69      0.73      0.00      0.00      0.00      0.00
03:10:03    eni18e702d09ed      5.00      4.00      0.85      0.86      0.00      0.00      0.00      0.00
03:10:03    eni57210d8fe98      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
