procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 119769624 1600 137359452 0   0  1414 90097 6237    0  0  0 99  0  0  0
 0  0      0 119756900 1600 137360988 0   0     0     0 4904 6118  0  0 100 0  0  0
 0  0      0 119772100 1600 137360996 0   0     0     0 4356 5795  0  0 100 0  0  0
 0  0      0 119773288 1600 137360996 0   0     0     4 3592 7825  0  0 100 0  0  0
 0  0      0 119777068 1600 137360996 0   0     0     0 2536 3194  0  0 100 0  0  0
 0  0      0 119776324 1600 137360996 0   0     0     0 2509 2975  0  0 100 0  0  0
 0  0      0 119783712 1600 137360996 0   0     0     0 2545 2901  0  0 100 0  0  0
 0  0      0 119781868 1600 137360996 0   0     0     0 3770 5949  0  0 100 0  0  0
 0  0      0 119750088 1600 137361136 0   0     0   292 5721 9518  0  0 100 0  0  0
32  0      0 109970824 1600 146400472 0   0     0   304 52621 25133 11 2 86 0  0  0
 1 50      0 96187912 1600 159941880 0    0     0 1710080 74696 19405 11 3 71 15 0 0
27 36      0 93226356 1600 162878712 0    0     0 2094700 46384 12361 1 0 57 42 0 0
12 53      0 90925520 1600 165148976 0    0     0 1206472 33326 17042 0 0 53 47 0 0
41 24      0 90015672 1600 166042552 0    0     0 1326292 19546 9018 0 0 51 49 0  0
 0 65      0 88302648 1600 167752632 0    0     0 1034240 24784 8027 0 0 51 48 0  0
 0 65      0 88249796 1600 167797716 0    0     0 1193492 16340 11657 0 0 52 48 0 0
 0 65      0 88252008 1600 167797704 0    0     0 1239020 12350 3818 0 0 54 46 0  0
10 40      0 79167848 1600 176998344 0    0     0 1264772 53051 12401 4 1 63 33 0 0
 0 65      0 75459192 1600 180615836 0    0     0 1170000 42950 13370 1 0 60 38 0 0
 0 65      0 75464048 1600 180615764 0    0     0 1300560 12906 4253 0 0 52 48 0  0
 0 65      0 75475020 1600 180615764 0    0     0 991376 12451 3934 0 0 55 45  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0 65      0 75481076 1600 180615764 0    0     0 1340220 12336 3633 0 0 56 44 0  0
 0 65      0 75475028 1600 180615756 0    0     0 1146944 14766 7803 0 0 57 43 0  0
 0 65      0 75481824 1600 180615756 0    0     0 1085440 13629 8648 0 0 57 43 0  0
 0 65      0 75486564 1600 180615756 0    0     0 1347584 12489 4070 0 0 56 44 0  0
