Linux 6.12.88-119.157.amzn2023.x86_64 (ip-192-168-45-226.us-west-2.compute.internal) 	06/04/26 	_x86_64_	(128 CPU)

02:19:03        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
02:19:04           lo    276.00    276.00     18.05     18.05      0.00      0.00      0.00      0.00
02:19:04         ens5    128.00    138.00     38.43     29.73      0.00      0.00      0.00      0.00
02:19:04    enifb1ac5e0a09      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:19:04    eni20ed0c6920d      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:19:04         ens6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:19:04    enic479fef38dc      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:19:04    eni5ea3bc05c73      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:19:04    enia71a515eb09      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:19:04    enia205ab21f2e      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:19:04    enife22b4c3b6a     78.00     60.00     25.57     26.85      0.00      0.00      0.00      0.00
02:19:04    eni4590226e482      1.00      1.00      0.06      0.29      0.00      0.00      0.00      0.00
02:19:04    enib08305bf35e      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:19:04    enifd833d83eb2      5.00      5.00      0.42      0.44      0.00      0.00      0.00      0.00
02:19:04    enidb0c25597b6      9.00     10.00      0.88      9.93      0.00      0.00      0.00      0.00
02:19:04    eni47a93c32888      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:19:04    eni70f4d61bd42      2.00      4.00      0.14      0.27      0.00      0.00      0.00      0.00
02:19:04    eni57210d8fe98      5.00      7.00      3.46      2.07      0.00      0.00      0.00      0.00

02:19:04        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
02:19:05           lo    269.00    269.00     17.95     17.95      0.00      0.00      0.00      0.00
02:19:05         ens5    181.00    171.00    101.36     38.50      0.00      0.00      0.00      0.00
02:19:05    enifb1ac5e0a09     14.00     14.00      2.66      1.65      0.00      0.00      0.00      0.00
02:19:05    eni20ed0c6920d     12.00     12.00      2.40      1.77      0.00      0.00      0.00      0.00
02:19:05         ens6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:19:05    enic479fef38dc      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:19:05    eni5ea3bc05c73      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:19:05    enia71a515eb09      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:19:05    enia205ab21f2e      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:19:05    enife22b4c3b6a     75.00     77.00     79.42     38.75      0.00      0.00      0.00      0.01
02:19:05    eni4590226e482      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:19:05    enib08305bf35e      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:19:05    enifd833d83eb2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:19:05    enidb0c25597b6     31.00     30.00      4.94     63.91      0.00      0.00      0.00      0.01
02:19:05    eni47a93c32888      5.00      4.00      0.85      0.80      0.00      0.00      0.00      0.00
02:19:05    eni70f4d61bd42      3.00      3.00      0.72      0.76      0.00      0.00      0.00      0.00
