Linux 6.12.88-119.157.amzn2023.x86_64 (ip-192-168-45-226.us-west-2.compute.internal) 	06/04/26 	_x86_64_	(128 CPU)

02:12:02      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:12:03        0     10742    0.97    0.00    0.00    0.00    0.97    84  kubelet
02:12:03    10001     39866    0.97    0.97    0.00    0.00    1.94    66  manager
02:12:03    10001     44757    0.97    0.00    0.00    0.00    0.97    41  manager
02:12:03        0    316852    0.97    0.97    0.00    0.00    1.94   114  pidstat

02:12:03      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:12:04        0     10676    0.00    1.00    0.00    0.00    1.00    47  containerd
02:12:04        0     10742    7.00    3.00    0.00    0.00   10.00    84  kubelet
02:12:04    65532     13838    2.00    0.00    0.00    0.00    2.00    89  coredns
02:12:04    65532     13841    1.00    0.00    0.00    0.00    1.00    22  coredns
02:12:04    10001     39866    1.00    0.00    0.00    0.00    1.00    66  manager
02:12:04    10001     44757    0.00    1.00    0.00    0.00    1.00    41  manager
02:12:04       26    312525    4.00    0.00    0.00    0.00    4.00   112  manager
02:12:04       26    312570    0.00    1.00    0.00    0.00    1.00    31  postgres
02:12:04        0    316852    1.00    2.00    0.00    0.00    3.00   114  pidstat
02:12:04       26    316935   57.00   15.00    0.00    0.00   72.00     1  barman-cloud-ba
02:12:04       26    316951    1.00    2.00    0.00    0.00    3.00     2  manager
02:12:04       26    316971   37.00    4.00    0.00    0.00   41.00   106  barman-cloud-wa

02:12:04      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:12:05        0     10676    0.00    2.00    0.00    0.00    2.00    47  containerd
02:12:05        0     10742    1.00    1.00    0.00    0.00    2.00    84  kubelet
02:12:05    65532     13841    0.00    1.00    0.00    0.00    1.00    22  coredns
02:12:05     1000     18234    1.00    0.00    0.00    0.00    1.00    93  metrics-server
02:12:05    65532     45947    1.00    0.00    0.00    0.00    1.00    89  manager
02:12:05        0    316833    1.00    0.00    0.00    0.00    1.00    53  iostat
02:12:05        0    316852    1.00    2.00    0.00    0.00    3.00   114  pidstat
02:12:05       26    316935   57.00   20.00    0.00    0.00   77.00     3  barman-cloud-ba
02:12:05       26    316976    0.00    2.00    0.00    0.00    2.00     2  barman-cloud-ba
02:12:05       26    316990    8.00    5.00    0.00    0.00   13.00    54  barman-cloud-ba
02:12:05       26    316991    6.00    3.00    0.00    0.00    9.00   125  barman-cloud-ba
02:12:05       26    316993   11.00    3.00    0.00    0.00   14.00    59  barman-cloud-ba
02:12:05       26    316996   11.00    1.00    0.00    0.00   12.00    37  barman-cloud-ba
02:12:05       26    317001    5.00    3.00    0.00    0.00    8.00     4  barman-cloud-ba
02:12:05       26    317005    2.00    6.00    0.00    0.00    8.00     1  barman-cloud-ba
02:12:05       26    317010    4.00    4.00    0.00    0.00    8.00     5  barman-cloud-ba
02:12:05       26    317014    4.00    5.00    0.00    0.00    9.00   116  barman-cloud-ba

02:12:05      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:12:06        0     10742    1.00    1.00    0.00    0.00    2.00    84  kubelet
02:12:06    65532     13838    1.00    0.00    0.00    0.00    1.00    89  coredns
02:12:06        0     17072    0.00    1.00    0.00    0.00    1.00    87  containerd-shim
02:12:06    65532     43335    1.00    0.00    0.00    0.00    1.00    44  cainjector
02:12:06        0    316852    1.00    0.00    0.00    0.00    1.00    50  pidstat
02:12:06       26    316935   89.00   11.00    0.00    0.00  100.00     3  barman-cloud-ba
02:12:06       26    316990    2.00    4.00    0.00    0.00    6.00    54  barman-cloud-ba
02:12:06       26    316991    5.00    4.00    0.00    0.00    9.00   125  barman-cloud-ba
02:12:06       26    316993    5.00    1.00    0.00    0.00    6.00    59  barman-cloud-ba
02:12:06       26    316996    2.00    2.00    0.00    0.00    4.00    37  barman-cloud-ba
02:12:06       26    317001    6.00    1.00    0.00    0.00    7.00     4  barman-cloud-ba
02:12:06       26    317005    4.00    2.00    0.00    0.00    6.00     1  barman-cloud-ba
02:12:06       26    317010    6.00    3.00    0.00    0.00    9.00     5  barman-cloud-ba
02:12:06       26    317014    2.00    3.00    0.00    0.00    5.00    30  barman-cloud-ba

02:12:06      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:12:07        0     10676    2.00    1.00    0.00    0.00    3.00    47  containerd
02:12:07        0     10742    1.00    1.00    0.00    0.00    2.00    84  kubelet
02:12:07        0     10857    1.00    1.00    0.00    0.00    2.00    28  containerd-shim
02:12:07        0     11324    1.00    0.00    0.00    0.00    1.00    67  aws-k8s-agent
02:12:07        0    312030    1.00    0.00    0.00    0.00    1.00   117  containerd-shim
02:12:07        0    316696    0.00    1.00    0.00    0.00    1.00    38  containerd-shim
02:12:07        0    316852    2.00    1.00    0.00    0.00    3.00    50  pidstat
02:12:07       26    316935   80.00   20.00    0.00    0.00  100.00     3  barman-cloud-ba
02:12:07       26    316990    4.00    3.00    0.00    0.00    7.00    54  barman-cloud-ba
02:12:07       26    316991    4.00    1.00    0.00    0.00    5.00   125  barman-cloud-ba
02:12:07       26    316993    2.00    1.00    0.00    0.00    3.00    59  barman-cloud-ba
02:12:07       26    316996    2.00    2.00    0.00    0.00    4.00    37  barman-cloud-ba
02:12:07       26    317001    3.00    2.00    0.00    0.00    5.00     4  barman-cloud-ba
02:12:07       26    317005    2.00    4.00    0.00    0.00    6.00    10  barman-cloud-ba
02:12:07       26    317010    3.00    2.00    0.00    0.00    5.00     5  barman-cloud-ba

02:12:07      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:12:08        0     10742    1.00    0.00    0.00    0.00    1.00    84  kubelet
02:12:08    65532     13841    1.00    0.00    0.00    0.00    1.00    22  coredns
02:12:08     1000     18237    1.00    0.00    0.00    0.00    1.00    40  metrics-server
02:12:08    65532     43438    1.00    0.00    0.00    0.00    1.00    43  controller
02:12:08        0    316852    0.00    3.00    0.00    0.00    3.00    50  pidstat
02:12:08       26    316935   87.00   13.00    0.00    0.00  100.00     3  barman-cloud-ba
02:12:08       26    316990    2.00    1.00    0.00    0.00    3.00    54  barman-cloud-ba
02:12:08       26    316991    4.00    3.00    0.00    0.00    7.00   125  barman-cloud-ba
02:12:08       26    316993    5.00    1.00    0.00    0.00    6.00    59  barman-cloud-ba
02:12:08       26    316996    3.00    0.00    0.00    0.00    3.00    37  barman-cloud-ba
02:12:08       26    317001    6.00    0.00    0.00    0.00    6.00     4  barman-cloud-ba
02:12:08       26    317005    3.00    0.00    0.00    0.00    3.00    10  barman-cloud-ba
02:12:08       26    317010    3.00    0.00    0.00    0.00    3.00     5  barman-cloud-ba

02:12:08      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:12:09        0     10676    1.00    0.00    0.00    0.00    1.00    47  containerd
02:12:09        0     10742    1.00    0.00    0.00    0.00    1.00    84  kubelet
02:12:09       26    312525    1.00    1.00    0.00    0.00    2.00   112  manager
02:12:09        0    316852    1.00    1.00    0.00    0.00    2.00    50  pidstat
02:12:09        0    316875    1.00    0.00    0.00    0.00    1.00    30  vmstat
02:12:09       26    316935   88.00   12.00    0.00    0.00  100.00     3  barman-cloud-ba
02:12:09       26    316976    0.00    1.00    0.00    0.00    1.00     2  barman-cloud-ba
02:12:09       26    316990    4.00    3.00    0.00    0.00    7.00    54  barman-cloud-ba
02:12:09       26    316991    1.00    1.00    0.00    0.00    2.00   125  barman-cloud-ba
02:12:09       26    316993    0.00    3.00    0.00    0.00    3.00    59  barman-cloud-ba
02:12:09       26    316996    2.00    0.00    0.00    0.00    2.00    37  barman-cloud-ba
02:12:09       26    317001    3.00    0.00    0.00    0.00    3.00     4  barman-cloud-ba
02:12:09       26    317005    5.00    1.00    0.00    0.00    6.00    10  barman-cloud-ba
02:12:09       26    317010    5.00    0.00    0.00    0.00    5.00     5  barman-cloud-ba
02:12:09       26    317014    1.00    1.00    0.00    0.00    2.00    30  barman-cloud-ba

02:12:09      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:12:10        0     10742    1.00    0.00    0.00    0.00    1.00    84  kubelet
02:12:10        0     39095    0.00    1.00    0.00    0.00    1.00    88  kworker/u513:23-kvfree_rcu_reclaim
02:12:10        0    316852    1.00    2.00    0.00    0.00    3.00    50  pidstat
02:12:10       26    316935   82.00   18.00    0.00    0.00  100.00     3  barman-cloud-ba
02:12:10       26    316990    3.00    0.00    0.00    0.00    3.00    54  barman-cloud-ba
02:12:10       26    316991    6.00    1.00    0.00    0.00    7.00   125  barman-cloud-ba
02:12:10       26    316993    3.00    1.00    0.00    0.00    4.00    59  barman-cloud-ba
02:12:10       26    316996    2.00    2.00    0.00    0.00    4.00    37  barman-cloud-ba
02:12:10       26    317001    2.00    1.00    0.00    0.00    3.00     4  barman-cloud-ba
02:12:10       26    317005    4.00    1.00    0.00    0.00    5.00    10  barman-cloud-ba
02:12:10       26    317010    2.00    1.00    0.00    0.00    3.00     5  barman-cloud-ba
02:12:10       26    317014    2.00    2.00    0.00    0.00    4.00    30  barman-cloud-ba

02:12:10      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:12:11        0     10017    0.00    1.00    0.00    0.00    1.00    61  irqbalance
02:12:11        0     10742    0.00    1.00    0.00    0.00    1.00    84  kubelet
02:12:11        0    316852    0.00    2.00    0.00    0.00    2.00    50  pidstat
02:12:11       26    316935   80.00   20.00    0.00    0.00  100.00     3  barman-cloud-ba
02:12:11       26    316990    2.00    2.00    0.00    0.00    4.00    54  barman-cloud-ba
02:12:11       26    316991    1.00    2.00    0.00    0.00    3.00   125  barman-cloud-ba
02:12:11       26    316993    2.00    4.00    0.00    0.00    6.00    59  barman-cloud-ba
02:12:11       26    316996    1.00    1.00    0.00    0.00    2.00    37  barman-cloud-ba
02:12:11       26    317001    2.00    3.00    0.00    0.00    5.00     4  barman-cloud-ba
02:12:11       26    317005    1.00    2.00    0.00    0.00    3.00    10  barman-cloud-ba
02:12:11       26    317010    2.00    1.00    0.00    0.00    3.00     5  barman-cloud-ba
02:12:11       26    317014    2.00    1.00    0.00    0.00    3.00    30  barman-cloud-ba

02:12:11      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:12:12        0     10676    0.00    1.00    0.00    0.00    1.00    47  containerd
02:12:12    10001     44757    1.00    0.00    0.00    0.00    1.00    41  manager
02:12:12        0    316852    2.00    1.00    0.00    0.00    3.00    50  pidstat
02:12:12       26    316935   65.00   33.00    0.00    0.00   98.00     3  barman-cloud-ba
02:12:12       26    316990    2.00    0.00    0.00    0.00    2.00    54  barman-cloud-ba
02:12:12       26    316991    2.00    1.00    0.00    0.00    3.00   125  barman-cloud-ba
02:12:12       26    316993    2.00    0.00    0.00    0.00    2.00    59  barman-cloud-ba
02:12:12       26    316996    2.00    1.00    0.00    0.00    3.00    37  barman-cloud-ba
02:12:12       26    317005    1.00    1.00    0.00    0.00    2.00    10  barman-cloud-ba
02:12:12       26    317010    2.00    1.00    0.00    0.00    3.00     5  barman-cloud-ba
02:12:12       26    317014    3.00    0.00    0.00    0.00    3.00    30  barman-cloud-ba

02:12:12      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:12:13        0     10742    2.00    0.00    0.00    0.00    2.00    84  kubelet
02:12:13    65532     13838    1.00    0.00    0.00    0.00    1.00    89  coredns
02:12:13        0    316852    2.00    0.00    0.00    0.00    2.00    50  pidstat
02:12:13       26    316935   79.00   21.00    0.00    0.00  100.00     3  barman-cloud-ba
02:12:13       26    316990    0.00    2.00    0.00    0.00    2.00    54  barman-cloud-ba
02:12:13       26    316991    2.00    1.00    0.00    0.00    3.00   125  barman-cloud-ba
02:12:13       26    316993    2.00    1.00    0.00    0.00    3.00    59  barman-cloud-ba
02:12:13       26    316996    3.00    1.00    0.00    0.00    4.00    37  barman-cloud-ba
02:12:13       26    317001    0.00    3.00    0.00    0.00    3.00     4  barman-cloud-ba
