Linux 6.12.88-119.157.amzn2023.x86_64 (ip-192-168-45-226.us-west-2.compute.internal) 	06/04/26 	_x86_64_	(128 CPU)

03:50:44        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
03:50:45           lo    126.00    126.00      8.76      8.76      0.00      0.00      0.00      0.00
03:50:45         ens5     37.00     45.00     10.67      8.94      0.00      0.00      0.00      0.00
03:50:45    enifb1ac5e0a09      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:50:45    eni20ed0c6920d      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:50:45         ens6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:50:45    enic479fef38dc     11.00     14.00      4.49      2.76      0.00      0.00      0.00      0.00
03:50:45    eni5ea3bc05c73     10.00     13.00      4.42      2.60      0.00      0.00      0.00      0.00
03:50:45    enia71a515eb09      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:50:45    enia205ab21f2e      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:50:45    enife22b4c3b6a      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:50:45    eni4590226e482      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:50:45    enib08305bf35e      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:50:45    enifd833d83eb2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:50:45    enidb0c25597b6      5.00      7.00      0.82      1.00      0.00      0.00      0.00      0.00
03:50:45    eni47a93c32888      4.00      3.00      0.75      0.74      0.00      0.00      0.00      0.00
03:50:45    eni70f4d61bd42      1.00      1.00      0.06      0.20      0.00      0.00      0.00      0.00
03:50:45    eni57210d8fe98      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

03:50:45        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
03:50:46           lo    245.00    245.00     17.03     17.03      0.00      0.00      0.00      0.00
03:50:46         ens5    983.00   2248.00    198.39  15764.93      0.00      0.00      0.00      0.00
03:50:46    enifb1ac5e0a09     27.00     27.00      6.20      3.61      0.00      0.00      0.00      0.00
03:50:46    eni20ed0c6920d     40.00     40.00      9.04      5.12      0.00      0.00      0.00      0.00
03:50:46         ens6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:50:46    enic479fef38dc      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:50:46    eni5ea3bc05c73      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:50:46    enia71a515eb09      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:50:46    enia205ab21f2e      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:50:46    enife22b4c3b6a    171.00    149.00    108.90     69.35      0.00      0.00      0.00      0.01
03:50:46    eni4590226e482      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:50:46    enib08305bf35e      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:50:46    enifd833d83eb2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:50:46    enidb0c25597b6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:50:46    eni47a93c32888      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:50:46    eni70f4d61bd42     57.00     58.00     10.34     78.39      0.00      0.00      0.00      0.01
03:50:46    eni57210d8fe98    608.00    881.00  15639.96    166.88      0.00      0.00      0.00      1.28

03:50:46        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
03:50:47           lo    182.00    182.00     14.16     14.16      0.00      0.00      0.00      0.00
03:50:47         ens5   1412.00   4511.00     76.50  36191.42      0.00      0.00      0.00      0.00
03:50:47    enifb1ac5e0a09      4.00      6.00      0.40      0.50      0.00      0.00      0.00      0.00
03:50:47    eni20ed0c6920d      5.00      6.00      0.46      0.50      0.00      0.00      0.00      0.00
03:50:47         ens6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:50:47    enic479fef38dc      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:50:47    eni5ea3bc05c73      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
