procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 120871312 1676 136374816 0   0   133 108018 5989   0  0  0 98  1  0  0
 0  0      0 120859944 1676 136374916 0   0     0     0 3568 4281  0  0 100 0  0  0
 1  0      0 120788860 1676 136391296 0   0     0 16415 8442 12854 0  0 100 0  0  0
 0  0      0 120784088 1676 136391344 0   0     0     0 5902 5650  0  0 100 0  0  0
 0  0      0 120783464 1676 136391344 0   0     0     0 5171 3866  0  0 100 0  0  0
 0  0      0 120796544 1676 136391344 0   0     0     0 6775 5757  0  0 100 0  0  0
 0  0      0 120796916 1676 136391344 0   0     0    24 5393 5316  0  0 100 0  0  0
 0  0      0 120799372 1676 136391344 0   0     0     4 3558 2774  0  0 100 0  0  0
 1  0      0 120806988 1676 136391344 0   0     0     0 6152 5964  0  0 100 0  0  0
 0  0      0 120809996 1676 136391344 0   0     0     0 2948 2476  0  0 100 0  0  0
 0  0      0 120811504 1676 136391344 0   0     0     8 2287 2848  0  0 100 0  0  0
 0  0      0 120813340 1676 136391344 0   0     0     0 2146 2534  0  0 100 0  0  0
 2  0      0 120764200 1676 136391344 0   0     0     0 4772 2586  0  0 99  0  0  0
 0  0      0 120816596 1676 136391340 0   0     0    89 7457 6467  1  0 99  0  0  0
 0  0      0 120815608 1676 136391344 0   0     0     0 5543 3148  0  0 100 0  0  0
 1  0      0 120801864 1676 136391348 0   0     0     0 5516 4847  0  0 100 0  0  0
 2  0      0 120813528 1676 136391348 0   0     0     0 4670 2829  0  0 100 0  0  0
 0  0      0 120816212 1676 136391348 0   0     0     0 4911 5210  0  0 100 0  0  0
 0  0      0 120814288 1676 136391348 0   0     0     0 7219 2481  0  0 100 0  0  0
 1  0      0 120818692 1676 136391348 0   0     0     0 10769 2171 0  0 100 0  0  0
 0  0      0 120819340 1676 136391348 0   0     0     4 10038 2703 0  0 100 0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 120821732 1676 136391348 0   0     0     0 9767 2750  0  0 100 0  0  0
 0  0      0 120820480 1676 136391348 0   0     0     0 9990 2654  0  0 100 0  0  0
 1  0      0 120827860 1676 136391348 0   0     0     0 11842 10367 0 0 100 0  0  0
 0  0      0 120824616 1676 136391348 0   0     0     0 11557 3906 0  0 100 0  0  0
 0  0      0 120816212 1676 136391348 0   0     0     0 9778 5766  0  0 100 0  0  0
 1  0      0 120814088 1676 136391348 0   0     0     0 9060 2726  0  0 100 0  0  0
 0  0      0 120815940 1676 136391384 0   0     0     0 9605 5690  0  0 100 0  0  0
 1  0      0 120817384 1676 136391384 0   0     0     0 8218 2662  0  0 100 0  0  0
 1  0      0 120821132 1676 136391384 0   0     0    32 8514 2647  0  0 100 0  0  0
 0  0      0 120818040 1676 136391384 0   0     0    48 7435 2512  0  0 100 0  0  0
 0  0      0 120818016 1676 136391388 0   0     0     0 3791 2432  0  0 100 0  0  0
 1  0      0 120818912 1676 136391388 0   0     0     0 6549 3018  0  0 100 0  0  0
 0  0      0 120819384 1676 136391388 0   0     0     0 5659 5400  0  0 100 0  0  0
 0  0      0 120817292 1676 136391324 0   0     0     0 3399 3341  0  0 100 0  0  0
 1  0      0 120800988 1676 136391324 0   0     0     0 6236 5264  0  0 100 0  0  0
 0  0      0 120804504 1676 136391324 0   0     0     0 3082 2176  0  0 100 0  0  0
 0  0      0 120805240 1676 136391324 0   0     0     0 3601 5062  0  0 100 0  0  0
 1  0      0 120804392 1676 136391324 0   0     0     0 6625 6300  0  0 100 0  0  0
 0  0      0 120812796 1676 136391324 0   0     0     0 6945 2226  0  0 100 0  0  0
 1  0      0 120813576 1676 136391324 0   0     0     0 5443 2652  0  0 100 0  0  0
 0  0      0 120816588 1676 136391324 0   0     0     4 3380 2764  0  0 100 0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 120817572 1676 136391324 0   0     0     0 4700 2818  0  0 100 0  0  0
 0  0      0 120819140 1676 136391324 0   0     0    78 4750 5557  0  0 100 0  0  0
 1  0      0 120822044 1676 136391324 0   0     0    16 4016 3626  0  0 100 0  0  0
 1  0      0 120819724 1676 136391324 0   0     0     0 5353 5176  0  0 100 0  0  0
 1  0      0 120820720 1676 136391324 0   0     0     0 3335 2288  0  0 100 0  0  0
 1  0      0 120820420 1676 136391324 0   0     0     0 4779 5243  0  0 100 0  0  0
 0  0      0 120823348 1676 136391292 0   0     0     0 3355 1990  0  0 100 0  0  0
 0  0      0 120823812 1676 136391292 0   0     0     0 5023 2478  0  0 100 0  0  0
 0  0      0 120823088 1676 136391292 0   0     0     0 4134 2762  0  0 100 0  0  0
 0  0      0 120822884 1676 136391292 0   0     0     0 4346 2913  0  0 100 0  0  0
 1  0      0 120826060 1676 136391292 0   0     0     4 5082 2848  0  0 100 0  0  0
 1  0      0 120823072 1676 136391292 0   0     0     0 6457 10187 0  0 100 0  0  0
 0  0      0 120827760 1676 136391292 0   0     0     0 3390 3012  0  0 100 0  0  0
 1  0      0 120817432 1676 136391292 0   0     0     0 6338 4870  0  0 100 0  0  0
 0  0      0 120819892 1676 136391292 0   0     0     0 3534 2472  0  0 100 0  0  0
 0  0      0 120819952 1676 136391292 0   0     0     0 7059 4688  0  0 100 0  0  0
 0  0      0 120819848 1676 136391292 0   0     0     0 5387 2292  0  0 100 0  0  0
 0  0      0 120818272 1676 136391292 0   0     0   200 5378 2247  0  0 100 0  0  0
 0  0      0 120820340 1676 136391292 0   0     0     0 5178 2426  0  0 100 0  0  0
 0  0      0 120822368 1676 136391292 0   0     0     4 6236 3038  0  0 100 0  0  0
 0  0      0 120820472 1676 136391292 0   0     0     0 5850 2393  0  0 100 0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 120815920 1676 136391260 0   0     0     0 6490 5274  0  0 100 0  0  0
 0  0      0 120818192 1676 136391260 0   0     0     0 7711 3876  0  0 100 0  0  0
