Linux 6.12.88-119.157.amzn2023.x86_64 (ip-192-168-45-226.us-west-2.compute.internal) 	06/04/26 	_x86_64_	(128 CPU)

02:45:38        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
02:45:39           lo     86.00     86.00      6.78      6.78      0.00      0.00      0.00      0.00
02:45:39         ens5     77.00     81.00     33.50     19.28      0.00      0.00      0.00      0.00
02:45:39    enifb1ac5e0a09      5.00      5.00      0.46      0.44      0.00      0.00      0.00      0.00
02:45:39    eni20ed0c6920d      4.00      6.00      0.40      0.50      0.00      0.00      0.00      0.00
02:45:39         ens6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:45:39    enic479fef38dc      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:45:39    eni5ea3bc05c73      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:45:39    enia71a515eb09      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:45:39    enia205ab21f2e      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:45:39    enife22b4c3b6a     53.00     56.00     23.59     25.81      0.00      0.00      0.00      0.00
02:45:39    eni4590226e482      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:45:39    enib08305bf35e      9.00      8.00      1.39      1.31      0.00      0.00      0.00      0.00
02:45:39    enifd833d83eb2      4.00      6.00      0.36      0.50      0.00      0.00      0.00      0.00
02:45:39    enidb0c25597b6      4.00      3.00      0.75      0.74      0.00      0.00      0.00      0.00
02:45:39    eni47a93c32888     14.00     14.00      1.70     10.67      0.00      0.00      0.00      0.00
02:45:39    eni70f4d61bd42      3.00      3.00      0.72      0.77      0.00      0.00      0.00      0.00
02:45:39    eni57210d8fe98     22.00     24.00      7.01     12.85      0.00      0.00      0.00      0.00

02:45:39        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
02:45:40           lo    252.00    252.00     18.13     18.13      0.00      0.00      0.00      0.00
02:45:40         ens5    383.00    461.00    155.51    248.76      0.00      0.00      0.00      0.00
02:45:40    enifb1ac5e0a09     46.00     46.00     11.07      5.64      0.00      0.00      0.00      0.00
02:45:40    eni20ed0c6920d     20.00     20.00      4.75      2.53      0.00      0.00      0.00      0.00
02:45:40         ens6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:45:40    enic479fef38dc      2.00      2.00      0.13      0.13      0.00      0.00      0.00      0.00
02:45:40    eni5ea3bc05c73      1.00      1.00      0.06      0.06      0.00      0.00      0.00      0.00
02:45:40    enia71a515eb09      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:45:40    enia205ab21f2e      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:45:40    enife22b4c3b6a    123.00     97.00     83.02     40.87      0.00      0.00      0.00      0.01
02:45:40    eni4590226e482      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:45:40    enib08305bf35e      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:45:40    enifd833d83eb2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:45:40    enidb0c25597b6      1.00      1.00      0.06      0.06      0.00      0.00      0.00      0.00
02:45:40    eni47a93c32888     27.00     28.00      3.93     63.16      0.00      0.00      0.00      0.01
02:45:40    eni70f4d61bd42      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:45:40    eni57210d8fe98    253.00    288.00    222.94    133.60      0.00      0.00      0.00      0.02

02:45:40        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
02:45:41           lo    156.00    156.00     12.40     12.40      0.00      0.00      0.00      0.00
02:45:41         ens5   3679.00  29920.00    179.21  43158.54      0.00      0.00      0.00      0.00
02:45:41    enifb1ac5e0a09      4.00      4.00      0.84      0.47      0.00      0.00      0.00      0.00
02:45:41    eni20ed0c6920d      8.00      8.00      1.94      1.13      0.00      0.00      0.00      0.00
02:45:41         ens6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:45:41    enic479fef38dc      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:45:41    eni5ea3bc05c73      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
