Linux 6.12.88-119.157.amzn2023.x86_64 (ip-192-168-45-226.us-west-2.compute.internal) 	06/04/26 	_x86_64_	(128 CPU)

02:58:28      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:58:29        0     10676    0.00    1.94    0.00    0.00    1.94    47  containerd
02:58:29        0     10742    0.97    0.00    0.00    0.00    0.97    84  kubelet
02:58:29    10001     39866    0.00    1.94    0.00    0.00    1.94    66  manager
02:58:29       26    338082    0.97    0.00    0.00    0.00    0.97    73  manager
02:58:29       26    338220    0.97    0.00    0.00    0.00    0.97    66  manager
02:58:29       26    338266    0.00    0.97    0.00    0.00    0.97    14  postgres
02:58:29        0    347324    0.97    1.94    0.00    0.00    2.91    18  pidstat
02:58:29       26    347462    2.91    0.00    0.00    0.00    2.91    31  pgbackrest

02:58:29      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:58:30        0        18    1.00    0.00    0.00    0.00    1.00    65  rcu_preempt
02:58:30        0        65    1.00    0.00    0.00    0.00    1.00     9  ksoftirqd/9
02:58:30        0       465    1.00    0.00    0.00    1.00    1.00    88  ksoftirqd/88
02:58:30        0     10017    0.00    1.00    0.00    0.00    1.00    42  irqbalance
02:58:30        0     10742    9.00    0.00    0.00    0.00    9.00    84  kubelet
02:58:30    65532     13838    1.00    0.00    0.00    0.00    1.00    90  coredns
02:58:30    65532     13841    2.00    0.00    0.00    0.00    2.00   117  coredns
02:58:30     1000     18237    1.00    0.00    0.00    0.00    1.00    40  metrics-server
02:58:30        0     19804    0.00    1.00    0.00    0.00    1.00    92  containerd-shim
02:58:30       26    338082    0.00    1.00    0.00    0.00    1.00    73  manager
02:58:30       26    338220    3.00    2.00    0.00    0.00    5.00    66  manager
02:58:30        0    347324    0.00    1.00    0.00    0.00    1.00     5  pidstat
02:58:30       26    347480    6.00    2.00    0.00    0.00    8.00     1  pgbackrest
02:58:30       26    347481    1.00    0.00    0.00    0.00    1.00    92  postgres
02:58:30       26    347505   11.00    3.00    0.00    0.00   14.00    88  pgbackrest
02:58:30       26    347506   15.00    3.00    0.00    0.00   18.00   114  pgbackrest
02:58:30       26    347507   12.00    1.00    0.00    0.00   13.00   109  pgbackrest
02:58:30       26    347508   13.00    2.00    0.00    0.00   15.00    67  pgbackrest
02:58:30       26    347509   18.00    0.00    0.00    0.00   18.00   107  pgbackrest
02:58:30       26    347510   15.00    2.00    0.00    0.00   17.00    14  pgbackrest
02:58:30       26    347511   17.00    0.00    0.00    0.00   17.00    15  pgbackrest
02:58:30       26    347512   18.00    0.00    0.00    0.00   18.00    39  pgbackrest
02:58:30       26    347513   13.00    2.00    0.00    0.00   15.00     0  pgbackrest
02:58:30       26    347514   15.00    3.00    0.00    0.00   18.00    18  pgbackrest
02:58:30       26    347515   18.00    3.00    0.00    0.00   21.00    18  pgbackrest
02:58:30       26    347516   16.00    1.00    0.00    0.00   17.00    36  pgbackrest
02:58:30       26    347517   13.00    3.00    0.00    0.00   16.00    49  pgbackrest
02:58:30       26    347518   16.00    3.00    0.00    0.00   19.00    50  pgbackrest
02:58:30       26    347519   12.00    0.00    0.00    0.00   12.00    12  pgbackrest
02:58:30       26    347520   16.00    1.00    0.00    0.00   17.00    74  pgbackrest
02:58:30       26    347521   12.00    5.00    0.00    0.00   17.00    51  pgbackrest
02:58:30       26    347522   22.00    3.00    0.00    0.00   25.00     7  pgbackrest
