Linux 6.12.88-119.157.amzn2023.x86_64 (ip-192-168-45-226.us-west-2.compute.internal) 	06/04/26 	_x86_64_	(128 CPU)

02:25:51        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
02:25:52           lo    109.00    109.00      8.23      8.23      0.00      0.00      0.00      0.00
02:25:52         ens5     52.00     56.00     19.33     14.79      0.00      0.00      0.00      0.00
02:25:52    enifb1ac5e0a09      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:25:52    eni20ed0c6920d      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:25:52         ens6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:25:52    enic479fef38dc      3.00      3.00      0.26      2.78      0.00      0.00      0.00      0.00
02:25:52    eni5ea3bc05c73      4.00      4.00      0.33      2.94      0.00      0.00      0.00      0.00
02:25:52    enia71a515eb09      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:25:52    enia205ab21f2e      1.00      1.00      0.06      0.18      0.00      0.00      0.00      0.00
02:25:52    enife22b4c3b6a      5.00      6.00      0.83      1.04      0.00      0.00      0.00      0.00
02:25:52    eni4590226e482      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:25:52    enib08305bf35e      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:25:52    enifd833d83eb2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:25:52    enidb0c25597b6      1.00      1.00      0.06      0.06      0.00      0.00      0.00      0.00
02:25:52    eni47a93c32888      4.00      3.00      0.75      0.73      0.00      0.00      0.00      0.00
02:25:52    eni70f4d61bd42      3.00      3.00      0.72      0.76      0.00      0.00      0.00      0.00
02:25:52    eni57210d8fe98      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:25:52    enic05c37ac946      3.00      2.00      0.24      0.18      0.00      0.00      0.00      0.00

02:25:52        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
02:25:53           lo    139.00    139.00     10.80     10.80      0.00      0.00      0.00      0.00
02:25:53         ens5     76.00     60.00     57.39     10.93      0.00      0.00      0.00      0.00
02:25:53    enifb1ac5e0a09      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:25:53    eni20ed0c6920d      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:25:53         ens6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:25:53    enic479fef38dc      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:25:53    eni5ea3bc05c73      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:25:53    enia71a515eb09      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:25:53    enia205ab21f2e      1.00      1.00      0.06      0.18      0.00      0.00      0.00      0.00
02:25:53    enife22b4c3b6a      6.00      6.00      0.48     12.47      0.00      0.00      0.00      0.00
02:25:53    eni4590226e482      3.00      4.00      0.85      0.96      0.00      0.00      0.00      0.00
02:25:53    enib08305bf35e      5.00      4.00      0.96      1.06      0.00      0.00      0.00      0.00
