Linux 6.12.88-119.157.amzn2023.x86_64 (ip-192-168-45-226.us-west-2.compute.internal) 	06/04/26 	_x86_64_	(128 CPU)

04:00:26        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
04:00:27           lo    163.00    163.00     11.97     11.97      0.00      0.00      0.00      0.00
04:00:27         ens5     69.00     65.00     12.19     14.13      0.00      0.00      0.00      0.00
04:00:27    enifb1ac5e0a09      4.00      6.00      0.40      0.50      0.00      0.00      0.00      0.00
04:00:27    eni20ed0c6920d      5.00      5.00      0.46      0.44      0.00      0.00      0.00      0.00
04:00:27         ens6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:27    enic479fef38dc      9.00     12.00      2.11      0.96      0.00      0.00      0.00      0.00
04:00:27    eni5ea3bc05c73      4.00      4.00      0.74      0.34      0.00      0.00      0.00      0.00
04:00:27    enia71a515eb09      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:27    enia205ab21f2e      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:27    enife22b4c3b6a      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:27    eni4590226e482      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:27    enib08305bf35e      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:27    enifd833d83eb2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:27    enidb0c25597b6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:27    eni47a93c32888      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:27    eni70f4d61bd42      6.00      5.00      0.94      0.95      0.00      0.00      0.00      0.00
04:00:27    eni57210d8fe98      2.00      2.00      0.13      0.44      0.00      0.00      0.00      0.00
04:00:27    eni104a647366b      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

04:00:27        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
04:00:28           lo    131.00    131.00     10.42     10.42      0.00      0.00      0.00      0.00
04:00:28         ens5     44.00     46.00     12.79     10.62      0.00      0.00      0.00      0.00
04:00:28    enifb1ac5e0a09      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:28    eni20ed0c6920d      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:28         ens6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:28    enic479fef38dc     11.00     13.00      4.51      2.60      0.00      0.00      0.00      0.00
04:00:28    eni5ea3bc05c73     18.00     22.00      6.27      4.06      0.00      0.00      0.00      0.00
04:00:28    enia71a515eb09      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:28    enia205ab21f2e      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:28    enife22b4c3b6a      3.00      3.00      0.70      0.75      0.00      0.00      0.00      0.00
04:00:28    eni4590226e482      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:28    enib08305bf35e      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:28    enifd833d83eb2      4.00      6.00      0.36      0.50      0.00      0.00      0.00      0.00
04:00:28    enidb0c25597b6      3.00      3.00      0.69      0.73      0.00      0.00      0.00      0.00
04:00:28    eni47a93c32888      5.00      7.00      0.82      1.00      0.00      0.00      0.00      0.00
04:00:28    eni70f4d61bd42      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:28    eni57210d8fe98     15.00     18.00      3.44     10.83      0.00      0.00      0.00      0.00
04:00:28    eni104a647366b      1.00      0.00      0.07      0.00      0.00      0.00      0.00      0.00

04:00:28        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
04:00:29           lo    142.00    142.00     11.16     11.16      0.00      0.00      0.00      0.00
04:00:29         ens5     72.00     71.00     37.09     26.49      0.00      0.00      0.00      0.00
04:00:29    enifb1ac5e0a09      5.00      5.00      0.46      0.44      0.00      0.00      0.00      0.00
04:00:29    eni20ed0c6920d      5.00      5.00      0.46      0.44      0.00      0.00      0.00      0.00
04:00:29         ens6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:29    enic479fef38dc      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:29    eni5ea3bc05c73      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:29    enia71a515eb09      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:29    enia205ab21f2e      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:29    enife22b4c3b6a     44.00     47.00     37.08     29.64      0.00      0.00      0.00      0.00
04:00:29    eni4590226e482      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:29    enib08305bf35e      7.00      7.00      0.62      0.85      0.00      0.00      0.00      0.00
04:00:29    enifd833d83eb2      5.00      5.00      0.42      0.44      0.00      0.00      0.00      0.00
04:00:29    enidb0c25597b6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:29    eni47a93c32888      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:29    eni70f4d61bd42     12.00     15.00      1.59     17.26      0.00      0.00      0.00      0.00
04:00:29    eni57210d8fe98     16.00     17.00      3.48     10.74      0.00      0.00      0.00      0.00
04:00:29    eni104a647366b      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

04:00:29        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
04:00:30           lo    151.00    151.00     11.82     11.82      0.00      0.00      0.00      0.00
04:00:30         ens5     37.00     39.00      4.53      9.56      0.00      0.00      0.00      0.00
04:00:30    enifb1ac5e0a09      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:30    eni20ed0c6920d      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:30         ens6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:30    enic479fef38dc      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:30    eni5ea3bc05c73      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:30    enia71a515eb09      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:30    enia205ab21f2e      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:30    enife22b4c3b6a      5.00      5.00      0.83      1.02      0.00      0.00      0.00      0.00
04:00:30    eni4590226e482      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:30    enib08305bf35e      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:30    enifd833d83eb2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:30    enidb0c25597b6      3.00      3.00      0.69      0.74      0.00      0.00      0.00      0.00
04:00:30    eni47a93c32888      3.00      3.00      0.69      0.73      0.00      0.00      0.00      0.00
04:00:30    eni70f4d61bd42      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:30    eni57210d8fe98      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:30    eni104a647366b      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

04:00:30        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
04:00:31           lo    182.00    182.00     13.22     13.22      0.00      0.00      0.00      0.00
04:00:31         ens5     42.00     40.00      3.41      8.63      0.00      0.00      0.00      0.00
04:00:31    enifb1ac5e0a09      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:31    eni20ed0c6920d      1.00      1.00      0.06      0.18      0.00      0.00      0.00      0.00
04:00:31         ens6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:31    enic479fef38dc      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:31    eni5ea3bc05c73      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:31    enia71a515eb09      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:31    enia205ab21f2e      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:31    enife22b4c3b6a      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:31    eni4590226e482      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:31    enib08305bf35e      3.00      3.00      0.39      0.47      0.00      0.00      0.00      0.00
