Linux 6.12.88-119.157.amzn2023.x86_64 (ip-192-168-45-226.us-west-2.compute.internal) 	06/04/26 	_x86_64_	(128 CPU)

03:30:10        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
03:30:11           lo     61.00     61.00      5.84      5.84      0.00      0.00      0.00      0.00
03:30:11         ens5    256.00    224.00    152.62     49.90      0.00      0.00      0.00      0.00
03:30:11    enifb1ac5e0a09      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:30:11    eni20ed0c6920d      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:30:11         ens6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:30:11    enic479fef38dc      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:30:11    eni5ea3bc05c73      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:30:11    enia71a515eb09      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:30:11    enia205ab21f2e      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:30:11    enife22b4c3b6a     40.00     39.00     35.70     39.35      0.00      0.00      0.00      0.00
03:30:11    eni4590226e482      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:30:11    enib08305bf35e      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:30:11    enifd833d83eb2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:30:11    enidb0c25597b6      3.00      3.00      0.69      0.73      0.00      0.00      0.00      0.00
03:30:11    eni47a93c32888     11.00     14.00      1.50     17.37      0.00      0.00      0.00      0.00
03:30:11    eni70f4d61bd42      3.00      3.00      0.72      0.76      0.00      0.00      0.00      0.00
03:30:11    eni57210d8fe98      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:30:11    enie7574c5a7fa     26.00     21.00      5.00     43.39      0.00      0.00      0.00      0.00

03:30:11        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
03:30:12           lo    137.00    137.00     10.87     10.87      0.00      0.00      0.00      0.00
03:30:12         ens5     80.00     63.00     66.25     14.42      0.00      0.00      0.00      0.00
03:30:12    enifb1ac5e0a09      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:30:12    eni20ed0c6920d      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
